componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,432,259,BRC0655A,Nome não encontrado
Energia,kcal,154,92,BRC0655A,Nome não encontrado
Umidade,g,"68,4","41,0",BRC0655A,Nome não encontrado
Carboidrato total,g,"8,13","4,88",BRC0655A,Nome não encontrado
Carboidrato disponível,g,"7,86","4,72",BRC0655A,Nome não encontrado
Proteína,g,"12,6","7,56",BRC0655A,Nome não encontrado
Lipídios,g,"7,94","4,76",BRC0655A,Nome não encontrado
Fibra alimentar,g,"0,26","0,16",BRC0655A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0655A,Nome não encontrado
Cinzas,g,"2,98","1,79",BRC0655A,Nome não encontrado
Colesterol,mg,"86,2","51,7",BRC0655A,Nome não encontrado
Ácidos graxos saturados,g,"3,61","2,17",BRC0655A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,22","1,33",BRC0655A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,32","0,79",BRC0655A,Nome não encontrado
Ácidos graxos trans,g,"0,49","0,29",BRC0655A,Nome não encontrado
Cálcio,mg,"84,0","50,4",BRC0655A,Nome não encontrado
Ferro,mg,"0,48","0,29",BRC0655A,Nome não encontrado
Sódio,mg,716,429,BRC0655A,Nome não encontrado
Magnésio,mg,"14,3","8,58",BRC0655A,Nome não encontrado
Fósforo,mg,"82,1","49,2",BRC0655A,Nome não encontrado
Potássio,mg,119,"71,7",BRC0655A,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0655A,Nome não encontrado
Zinco,mg,"0,56","0,33",BRC0655A,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0655A,Nome não encontrado
Selênio,mcg,"4,73","2,84",BRC0655A,Nome não encontrado
Vitamina A (RE),mcg,"76,2","45,7",BRC0655A,Nome não encontrado
Vitamina A (RAE),mcg,"73,9","44,3",BRC0655A,Nome não encontrado
Vitamina D,mcg,"2,66","1,60",BRC0655A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,80","1,08",BRC0655A,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0655A,Nome não encontrado
Riboflavina,mg,"0,15","0,09",BRC0655A,Nome não encontrado
Niacina,mg,"4,79","2,87",BRC0655A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0655A,Nome não encontrado
Vitamina B12,mcg,"0,80","0,48",BRC0655A,Nome não encontrado
Vitamina C,mg,"0,91","0,54",BRC0655A,Nome não encontrado
Equivalente de folato,mcg,"11,9","7,17",BRC0655A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0655A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0655A,Nome não encontrado
Gordura de adição,g,-,-,BRC0655A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0655A,Nome não encontrado
Proteína animal,g,-,-,BRC0655A,Nome não encontrado
