componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,418,334,188,BRC1037B,Nome não encontrado
Energia,kcal,100,80,45,BRC1037B,Nome não encontrado
Umidade,g,"79,8","63,8","35,9",BRC1037B,Nome não encontrado
Carboidrato total,g,"10,4","8,31","4,67",BRC1037B,Nome não encontrado
Carboidrato disponível,g,"9,21","7,37","4,14",BRC1037B,Nome não encontrado
Proteína,g,"3,70","2,96","1,66",BRC1037B,Nome não encontrado
Lipídios,g,"5,12","4,10","2,30",BRC1037B,Nome não encontrado
Fibra alimentar,g,"1,18","0,94","0,53",BRC1037B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1037B,Nome não encontrado
Cinzas,g,"1,02","0,82","0,46",BRC1037B,Nome não encontrado
Colesterol,mg,"12,3","9,82","5,52",BRC1037B,Nome não encontrado
Ácidos graxos saturados,g,"1,46","1,17","0,66",BRC1037B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,37","1,10","0,62",BRC1037B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,65","0,37",BRC1037B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC1037B,Nome não encontrado
Cálcio,mg,"20,3","16,2","9,12",BRC1037B,Nome não encontrado
Ferro,mg,"0,24","0,19","0,11",BRC1037B,Nome não encontrado
Sódio,mg,193,154,"87,1",BRC1037B,Nome não encontrado
Magnésio,mg,"8,16","6,53","3,67",BRC1037B,Nome não encontrado
Fósforo,mg,"58,2","46,6","26,2",BRC1037B,Nome não encontrado
Potássio,mg,239,191,107,BRC1037B,Nome não encontrado
Manganês,mg,"0,05","0,04","0,02",BRC1037B,Nome não encontrado
Zinco,mg,"0,45","0,36","0,20",BRC1037B,Nome não encontrado
Cobre,mg,"0,06","0,04","0,02",BRC1037B,Nome não encontrado
Selênio,mcg,"4,33","3,46","1,95",BRC1037B,Nome não encontrado
Vitamina A (RE),mcg,"7,59","6,07","3,42",BRC1037B,Nome não encontrado
Vitamina A (RAE),mcg,"7,47","5,97","3,36",BRC1037B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1037B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,04","0,02",BRC1037B,Nome não encontrado
Tiamina,mg,"0,13","0,10","0,06",BRC1037B,Nome não encontrado
Riboflavina,mg,"0,05","0,04","0,02",BRC1037B,Nome não encontrado
Niacina,mg,"0,58","0,46","0,26",BRC1037B,Nome não encontrado
Vitamina B6,mg,"0,06","0,05","0,03",BRC1037B,Nome não encontrado
Vitamina B12,mcg,"0,14","0,11","0,06",BRC1037B,Nome não encontrado
Vitamina C,mg,"2,90","2,32","1,30",BRC1037B,Nome não encontrado
Equivalente de folato,mcg,"3,93","3,14","1,77",BRC1037B,Nome não encontrado
Sal de adição,g,,,,BRC1037B,Nome não encontrado
Açúcar de adição,g,,,,BRC1037B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1037B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1037B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1037B,Nome não encontrado
