componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher sopa cheia (37 g),Colher sopa rasa (22 g),codigo_alimento,nome_alimento
Energia,kJ,432,259,159,95,BRC0295B,Nome não encontrado
Energia,kcal,103,61,38,22,BRC0295B,Nome não encontrado
Umidade,g,"76,6","46,0","28,3","16,9",BRC0295B,Nome não encontrado
Carboidrato total,g,"17,9","10,7","6,62","3,94",BRC0295B,Nome não encontrado
Carboidrato disponível,g,"16,2","9,74","6,00","3,57",BRC0295B,Nome não encontrado
Proteína,g,"0,81","0,48","0,30","0,18",BRC0295B,Nome não encontrado
Lipídios,g,"3,50","2,10","1,29","0,77",BRC0295B,Nome não encontrado
Fibra alimentar,g,"1,66","1,00","0,61","0,37",BRC0295B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Cinzas,g,"1,20","0,72","0,45","0,26",BRC0295B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Ácidos graxos saturados,g,"1,08","0,65","0,40","0,24",BRC0295B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,46","0,28","0,17",BRC0295B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,35","0,81","0,50","0,30",BRC0295B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Cálcio,mg,"11,6","6,94","4,28","2,54",BRC0295B,Nome não encontrado
Ferro,mg,"0,41","0,24","0,15","0,09",BRC0295B,Nome não encontrado
Sódio,mg,191,114,"70,8","42,1",BRC0295B,Nome não encontrado
Magnésio,mg,"7,23","4,34","2,67","1,59",BRC0295B,Nome não encontrado
Fósforo,mg,"28,2","16,9","10,4","6,21",BRC0295B,Nome não encontrado
Potássio,mg,244,146,"90,5","53,8",BRC0295B,Nome não encontrado
Manganês,mg,"0,21","0,12","0,08","0,05",BRC0295B,Nome não encontrado
Zinco,mg,"0,36","0,22","0,13","0,08",BRC0295B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,05","0,03",BRC0295B,Nome não encontrado
Selênio,mcg,"0,31","0,18","0,11","0,07",BRC0295B,Nome não encontrado
Vitamina A (RE),mcg,"22,3","13,4","8,25","4,91",BRC0295B,Nome não encontrado
Vitamina A (RAE),mcg,"17,3","10,4","6,38","3,80",BRC0295B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,74","0,45","0,27","0,16",BRC0295B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,01",BRC0295B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0295B,Nome não encontrado
Niacina,mg,"1,87","1,12","0,69","0,41",BRC0295B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0295B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Vitamina C,mg,"16,2","9,70","5,98","3,56",BRC0295B,Nome não encontrado
Equivalente de folato,mcg,"6,57","3,94","2,43","1,44",BRC0295B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,17","0,10",BRC0295B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0295B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0295B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0295B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0295B,Nome não encontrado
