componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,798,877,BRC0490F,Nome não encontrado
Energia,kcal,192,211,BRC0490F,Nome não encontrado
Umidade,g,"68,8","75,7",BRC0490F,Nome não encontrado
Carboidrato total,g,"2,57","2,83",BRC0490F,Nome não encontrado
Carboidrato disponível,g,"1,59","1,75",BRC0490F,Nome não encontrado
Proteína,g,"12,5","13,7",BRC0490F,Nome não encontrado
Lipídios,g,"14,9","16,4",BRC0490F,Nome não encontrado
Fibra alimentar,g,"0,98","1,07",BRC0490F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0490F,Nome não encontrado
Cinzas,g,"1,24","1,37",BRC0490F,Nome não encontrado
Colesterol,mg,"58,8","64,7",BRC0490F,Nome não encontrado
Ácidos graxos saturados,g,"6,42","7,07",BRC0490F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,99","6,59",BRC0490F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,96",BRC0490F,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,27",BRC0490F,Nome não encontrado
Cálcio,mg,"8,54","9,39",BRC0490F,Nome não encontrado
Ferro,mg,"1,32","1,45",BRC0490F,Nome não encontrado
Sódio,mg,288,316,BRC0490F,Nome não encontrado
Magnésio,mg,"11,6","12,8",BRC0490F,Nome não encontrado
Fósforo,mg,"88,2","97,0",BRC0490F,Nome não encontrado
Potássio,mg,199,219,BRC0490F,Nome não encontrado
Manganês,mg,"0,04","0,04",BRC0490F,Nome não encontrado
Zinco,mg,"2,38","2,61",BRC0490F,Nome não encontrado
Cobre,mg,"0,08","0,09",BRC0490F,Nome não encontrado
Selênio,mcg,"0,13","0,14",BRC0490F,Nome não encontrado
Vitamina A (RE),mcg,117,128,BRC0490F,Nome não encontrado
Vitamina A (RAE),mcg,"58,6","64,4",BRC0490F,Nome não encontrado
Vitamina D,mcg,"0,25","0,27",BRC0490F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,72",BRC0490F,Nome não encontrado
Tiamina,mg,"0,03","0,04",BRC0490F,Nome não encontrado
Riboflavina,mg,"0,05","0,06",BRC0490F,Nome não encontrado
Niacina,mg,"1,24","1,36",BRC0490F,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0490F,Nome não encontrado
Vitamina B12,mcg,"1,94","2,14",BRC0490F,Nome não encontrado
Vitamina C,mg,"19,3","21,3",BRC0490F,Nome não encontrado
Equivalente de folato,mcg,"11,4","12,5",BRC0490F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0490F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0490F,Nome não encontrado
Gordura de adição,g,-,-,BRC0490F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0490F,Nome não encontrado
Proteína animal,g,-,-,BRC0490F,Nome não encontrado
