componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,536,241,321,BRC0332E,Nome não encontrado
Energia,kcal,128,57,76,BRC0332E,Nome não encontrado
Umidade,g,"74,1","33,3","44,4",BRC0332E,Nome não encontrado
Carboidrato total,g,"5,76","2,59","3,46",BRC0332E,Nome não encontrado
Carboidrato disponível,g,"5,28","2,38","3,17",BRC0332E,Nome não encontrado
Proteína,g,"11,2","5,05","6,73",BRC0332E,Nome não encontrado
Lipídios,g,"6,79","3,05","4,07",BRC0332E,Nome não encontrado
Fibra alimentar,g,"0,49","0,22","0,29",BRC0332E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0332E,Nome não encontrado
Cinzas,g,"2,14","0,96","1,29",BRC0332E,Nome não encontrado
Colesterol,mg,"16,7","7,50","10,0",BRC0332E,Nome não encontrado
Ácidos graxos saturados,g,"2,69","1,21","1,61",BRC0332E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,65","0,74","0,99",BRC0332E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,69","0,76","1,01",BRC0332E,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,05",BRC0332E,Nome não encontrado
Cálcio,mg,106,"48,0","64,0",BRC0332E,Nome não encontrado
Ferro,mg,"21,4","9,63","12,8",BRC0332E,Nome não encontrado
Sódio,mg,398,179,239,BRC0332E,Nome não encontrado
Magnésio,mg,"17,7","7,95","10,6",BRC0332E,Nome não encontrado
Fósforo,mg,150,"67,6","90,2",BRC0332E,Nome não encontrado
Potássio,mg,172,"77,7",103,BRC0332E,Nome não encontrado
Manganês,mg,"1,22","0,55","0,73",BRC0332E,Nome não encontrado
Zinco,mg,"1,94","0,87","1,16",BRC0332E,Nome não encontrado
Cobre,mg,"1,48","0,67","0,89",BRC0332E,Nome não encontrado
Selênio,mcg,"3,20","1,44","1,92",BRC0332E,Nome não encontrado
Vitamina A (RE),mcg,"34,5","15,5","20,7",BRC0332E,Nome não encontrado
Vitamina A (RAE),mcg,"50,0","22,5","30,0",BRC0332E,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,02",BRC0332E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,27","0,36",BRC0332E,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,06",BRC0332E,Nome não encontrado
Riboflavina,mg,"0,22","0,10","0,13",BRC0332E,Nome não encontrado
Niacina,mg,"1,38","0,62","0,83",BRC0332E,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,04",BRC0332E,Nome não encontrado
Vitamina B12,mcg,"6,18","2,78","3,71",BRC0332E,Nome não encontrado
Vitamina C,mg,"6,76","3,04","4,06",BRC0332E,Nome não encontrado
Equivalente de folato,mcg,"29,2","13,1","17,5",BRC0332E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0332E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0332E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0332E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0332E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0332E,Nome não encontrado
