componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,321,192,BRC0105T,Nome não encontrado
Energia,kcal,76,45,BRC0105T,Nome não encontrado
Umidade,g,"78,1","46,9",BRC0105T,Nome não encontrado
Carboidrato total,g,"14,5","8,72",BRC0105T,Nome não encontrado
Carboidrato disponível,g,"10,6","6,38",BRC0105T,Nome não encontrado
Proteína,g,"5,59","3,36",BRC0105T,Nome não encontrado
Lipídios,g,"0,36","0,22",BRC0105T,Nome não encontrado
Fibra alimentar,g,"3,89","2,34",BRC0105T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0105T,Nome não encontrado
Cinzas,g,"1,39","0,84",BRC0105T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0105T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,06",BRC0105T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,02",BRC0105T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09",BRC0105T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0105T,Nome não encontrado
Cálcio,mg,"10,5","6,33",BRC0105T,Nome não encontrado
Ferro,mg,"1,42","0,85",BRC0105T,Nome não encontrado
Sódio,mg,192,115,BRC0105T,Nome não encontrado
Magnésio,mg,100,"60,2",BRC0105T,Nome não encontrado
Fósforo,mg,"85,5","51,3",BRC0105T,Nome não encontrado
Potássio,mg,367,220,BRC0105T,Nome não encontrado
Manganês,mg,"0,68","0,41",BRC0105T,Nome não encontrado
Zinco,mg,"1,35","0,81",BRC0105T,Nome não encontrado
Cobre,mg,"0,33","0,20",BRC0105T,Nome não encontrado
Selênio,mcg,,,BRC0105T,Nome não encontrado
Vitamina A (RE),mcg,"0,21","0,13",BRC0105T,Nome não encontrado
Vitamina A (RAE),mcg,"0,11","0,06",BRC0105T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0105T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0105T,Nome não encontrado
Tiamina,mg,"0,12","0,07",BRC0105T,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0105T,Nome não encontrado
Niacina,mg,"0,52","0,31",BRC0105T,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0105T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0105T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0105T,Nome não encontrado
Equivalente de folato,mcg,"3,98","2,39",BRC0105T,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0105T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0105T,Nome não encontrado
Gordura de adição,g,-,-,BRC0105T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0105T,Nome não encontrado
Proteína animal,g,-,-,BRC0105T,Nome não encontrado
