componente,unidade,Valor por 100g,Concha cheia (150 g),codigo_alimento,nome_alimento
Energia,kJ,389,582,BRC0218T,Nome não encontrado
Energia,kcal,93,139,BRC0218T,Nome não encontrado
Umidade,g,"76,4",114,BRC0218T,Nome não encontrado
Carboidrato total,g,"11,5","17,2",BRC0218T,Nome não encontrado
Carboidrato disponível,g,"5,66","8,49",BRC0218T,Nome não encontrado
Proteína,g,"7,88","11,8",BRC0218T,Nome não encontrado
Lipídios,g,"3,03","4,54",BRC0218T,Nome não encontrado
Fibra alimentar,g,"5,80","8,70",BRC0218T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0218T,Nome não encontrado
Cinzas,g,"1,23","1,85",BRC0218T,Nome não encontrado
Colesterol,mg,"15,5","23,2",BRC0218T,Nome não encontrado
Ácidos graxos saturados,g,"0,97","1,46",BRC0218T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,95","1,43",BRC0218T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","1,26",BRC0218T,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,06",BRC0218T,Nome não encontrado
Cálcio,mg,"22,2","33,3",BRC0218T,Nome não encontrado
Ferro,mg,"1,42","2,13",BRC0218T,Nome não encontrado
Sódio,mg,200,301,BRC0218T,Nome não encontrado
Magnésio,mg,"34,4","51,6",BRC0218T,Nome não encontrado
Fósforo,mg,103,154,BRC0218T,Nome não encontrado
Potássio,mg,271,407,BRC0218T,Nome não encontrado
Manganês,mg,"0,28","0,42",BRC0218T,Nome não encontrado
Zinco,mg,"1,92","2,89",BRC0218T,Nome não encontrado
Cobre,mg,"0,16","0,24",BRC0218T,Nome não encontrado
Selênio,mcg,"0,76","1,14",BRC0218T,Nome não encontrado
Vitamina A (RE),mcg,"2,33","3,49",BRC0218T,Nome não encontrado
Vitamina A (RAE),mcg,"2,42","3,63",BRC0218T,Nome não encontrado
Vitamina D,mcg,"0,02","0,02",BRC0218T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,71","1,07",BRC0218T,Nome não encontrado
Tiamina,mg,"0,05","0,08",BRC0218T,Nome não encontrado
Riboflavina,mg,"0,05","0,08",BRC0218T,Nome não encontrado
Niacina,mg,"0,85","1,27",BRC0218T,Nome não encontrado
Vitamina B6,mg,"0,03","0,05",BRC0218T,Nome não encontrado
Vitamina B12,mcg,"0,42","0,62",BRC0218T,Nome não encontrado
Vitamina C,mg,"7,26","10,9",BRC0218T,Nome não encontrado
Equivalente de folato,mcg,"70,5",105,BRC0218T,Nome não encontrado
Sal de adição,g,"0,45","0,68",BRC0218T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0218T,Nome não encontrado
Gordura de adição,g,-,-,BRC0218T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0218T,Nome não encontrado
Proteína animal,g,-,-,BRC0218T,Nome não encontrado
