componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (130 g),codigo_alimento,nome_alimento
Energia,kJ,230,299,BRC0172C,Nome não encontrado
Energia,kcal,54,70,BRC0172C,Nome não encontrado
Umidade,g,"85,0",110,BRC0172C,Nome não encontrado
Carboidrato total,g,"14,5","18,9",BRC0172C,Nome não encontrado
Carboidrato disponível,g,"12,1","15,7",BRC0172C,Nome não encontrado
Proteína,g,"0,30","0,39",BRC0172C,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0172C,Nome não encontrado
Fibra alimentar,g,"2,40","3,12",BRC0172C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0172C,Nome não encontrado
Cinzas,g,"0,20","0,26",BRC0172C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0172C,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0172C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0172C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0172C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0172C,Nome não encontrado
Cálcio,mg,"4,00","5,20",BRC0172C,Nome não encontrado
Ferro,mg,"0,16","0,21",BRC0172C,Nome não encontrado
Sódio,mg,"2,00","2,60",BRC0172C,Nome não encontrado
Magnésio,mg,"4,00","5,20",BRC0172C,Nome não encontrado
Fósforo,mg,"9,00","11,7",BRC0172C,Nome não encontrado
Potássio,mg,107,139,BRC0172C,Nome não encontrado
Manganês,mg,,,BRC0172C,Nome não encontrado
Zinco,mg,"0,06","0,08",BRC0172C,Nome não encontrado
Cobre,mg,,,BRC0172C,Nome não encontrado
Selênio,mcg,,,BRC0172C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0172C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0172C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0172C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,50","0,65",BRC0172C,Nome não encontrado
Tiamina,mg,"0,03","0,04",BRC0172C,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0172C,Nome não encontrado
Niacina,mg,"0,10","0,13",BRC0172C,Nome não encontrado
Vitamina B6,mg,"0,50","0,65",BRC0172C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0172C,Nome não encontrado
Vitamina C,mg,"5,00","6,50",BRC0172C,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0172C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0172C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0172C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0172C,Nome não encontrado
Proteína vegetal,g,"0,30","0,39",BRC0172C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0172C,Nome não encontrado
