componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1340,134,BRC0013A,Nome não encontrado
Energia,kcal,324,32,BRC0013A,Nome não encontrado
Umidade,g,"4,98","0,50",BRC0013A,Nome não encontrado
Carboidrato total,g,"35,5","3,55",BRC0013A,Nome não encontrado
Carboidrato disponível,g,"11,2","1,12",BRC0013A,Nome não encontrado
Proteína,g,"14,2","1,42",BRC0013A,Nome não encontrado
Lipídios,g,"19,3","1,93",BRC0013A,Nome não encontrado
Fibra alimentar,g,"24,3","2,43",BRC0013A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0013A,Nome não encontrado
Cinzas,g,"26,0","2,60",BRC0013A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0013A,Nome não encontrado
Ácidos graxos saturados,g,"3,86","0,39",BRC0013A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,99","0,70",BRC0013A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,90","0,69",BRC0013A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0013A,Nome não encontrado
Cálcio,mg,"57,7","5,77",BRC0013A,Nome não encontrado
Ferro,mg,"18,8","1,88",BRC0013A,Nome não encontrado
Sódio,mg,"5,06","0,51",BRC0013A,Nome não encontrado
Magnésio,mg,790,"79,1",BRC0013A,Nome não encontrado
Fósforo,mg,1697,169,BRC0013A,Nome não encontrado
Potássio,mg,1503,150,BRC0013A,Nome não encontrado
Manganês,mg,"14,4","1,44",BRC0013A,Nome não encontrado
Zinco,mg,"6,11","0,61",BRC0013A,Nome não encontrado
Cobre,mg,"0,74","0,07",BRC0013A,Nome não encontrado
Selênio,mcg,,,BRC0013A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0013A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0013A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0013A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,55","0,46",BRC0013A,Nome não encontrado
Tiamina,mg,"2,79","0,28",BRC0013A,Nome não encontrado
Riboflavina,mg,"0,29","0,03",BRC0013A,Nome não encontrado
Niacina,mg,"34,4","3,44",BRC0013A,Nome não encontrado
Vitamina B6,mg,"4,12","0,41",BRC0013A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0013A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0013A,Nome não encontrado
Equivalente de folato,mcg,"63,8","6,38",BRC0013A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0013A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0013A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0013A,Nome não encontrado
Proteína vegetal,g,"14,2","1,42",BRC0013A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0013A,Nome não encontrado
