componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,166,66,41,BRC0319B,Nome não encontrado
Energia,kcal,40,15,9,BRC0319B,Nome não encontrado
Umidade,g,"91,5","36,6","22,9",BRC0319B,Nome não encontrado
Carboidrato total,g,"3,90","1,56","0,97",BRC0319B,Nome não encontrado
Carboidrato disponível,g,"2,34","0,93","0,58",BRC0319B,Nome não encontrado
Proteína,g,"1,05","0,42","0,26",BRC0319B,Nome não encontrado
Lipídios,g,"2,59","1,03","0,65",BRC0319B,Nome não encontrado
Fibra alimentar,g,"1,56","0,62","0,39",BRC0319B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Cinzas,g,"0,95","0,38","0,24",BRC0319B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,16","0,10",BRC0319B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,90","0,76","0,48",BRC0319B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,11","0,07",BRC0319B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Cálcio,mg,"21,4","8,55","5,34",BRC0319B,Nome não encontrado
Ferro,mg,"0,40","0,16","0,10",BRC0319B,Nome não encontrado
Sódio,mg,136,"54,6","34,1",BRC0319B,Nome não encontrado
Magnésio,mg,"8,73","3,49","2,18",BRC0319B,Nome não encontrado
Fósforo,mg,"23,6","9,42","5,89",BRC0319B,Nome não encontrado
Potássio,mg,280,112,"70,1",BRC0319B,Nome não encontrado
Manganês,mg,"0,14","0,06","0,04",BRC0319B,Nome não encontrado
Zinco,mg,"0,29","0,12","0,07",BRC0319B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01",BRC0319B,Nome não encontrado
Selênio,mcg,"0,11","0,05","0,03",BRC0319B,Nome não encontrado
Vitamina A (RE),mcg,"30,8","12,3","7,71",BRC0319B,Nome não encontrado
Vitamina A (RAE),mcg,"15,4","6,17","3,85",BRC0319B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,20","0,13",BRC0319B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01",BRC0319B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00",BRC0319B,Nome não encontrado
Niacina,mg,"0,02","0,01","0,00",BRC0319B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01",BRC0319B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Vitamina C,mg,"9,53","3,81","2,38",BRC0319B,Nome não encontrado
Equivalente de folato,mcg,"24,1","9,65","6,03",BRC0319B,Nome não encontrado
Sal de adição,g,"0,32","0,13","0,08",BRC0319B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0319B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0319B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0319B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0319B,Nome não encontrado
