componente,unidade,Valor por 100g,Porção Média (120 g),codigo_alimento,nome_alimento
Energia,kJ,367,439,BRC0725B,Nome não encontrado
Energia,kcal,88,105,BRC0725B,Nome não encontrado
Umidade,g,"81,3","97,6",BRC0725B,Nome não encontrado
Carboidrato total,g,"4,36","5,23",BRC0725B,Nome não encontrado
Carboidrato disponível,g,"2,86","3,43",BRC0725B,Nome não encontrado
Proteína,g,"8,74","10,5",BRC0725B,Nome não encontrado
Lipídios,g,"4,26","5,11",BRC0725B,Nome não encontrado
Fibra alimentar,g,"1,50","1,80",BRC0725B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0725B,Nome não encontrado
Cinzas,g,"1,32","1,59",BRC0725B,Nome não encontrado
Colesterol,mg,"21,7","26,0",BRC0725B,Nome não encontrado
Ácidos graxos saturados,g,"1,41","1,69",BRC0725B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,38","1,66",BRC0725B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,30","1,55",BRC0725B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,08",BRC0725B,Nome não encontrado
Cálcio,mg,"15,4","18,5",BRC0725B,Nome não encontrado
Ferro,mg,"0,89","1,07",BRC0725B,Nome não encontrado
Sódio,mg,155,186,BRC0725B,Nome não encontrado
Magnésio,mg,"23,7","28,5",BRC0725B,Nome não encontrado
Fósforo,mg,"90,2",108,BRC0725B,Nome não encontrado
Potássio,mg,336,404,BRC0725B,Nome não encontrado
Manganês,mg,"0,09","0,11",BRC0725B,Nome não encontrado
Zinco,mg,"2,42","2,91",BRC0725B,Nome não encontrado
Cobre,mg,"0,09","0,11",BRC0725B,Nome não encontrado
Selênio,mcg,"1,46","1,75",BRC0725B,Nome não encontrado
Vitamina A (RE),mcg,"51,8","62,2",BRC0725B,Nome não encontrado
Vitamina A (RAE),mcg,"26,3","31,6",BRC0725B,Nome não encontrado
Vitamina D,mcg,"0,03","0,03",BRC0725B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,41",BRC0725B,Nome não encontrado
Tiamina,mg,"0,05","0,06",BRC0725B,Nome não encontrado
Riboflavina,mg,"0,11","0,13",BRC0725B,Nome não encontrado
Niacina,mg,"1,17","1,40",BRC0725B,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0725B,Nome não encontrado
Vitamina B12,mcg,"0,99","1,18",BRC0725B,Nome não encontrado
Vitamina C,mg,"6,55","7,86",BRC0725B,Nome não encontrado
Equivalente de folato,mcg,"19,2","23,0",BRC0725B,Nome não encontrado
Sal de adição,g,"0,47","0,56",BRC0725B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0725B,Nome não encontrado
Gordura de adição,g,-,-,BRC0725B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0725B,Nome não encontrado
Proteína animal,g,-,-,BRC0725B,Nome não encontrado
