componente,unidade,Valor por 100g,Colher servir cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,241,120,BRC0135B,Nome não encontrado
Energia,kcal,57,28,BRC0135B,Nome não encontrado
Umidade,g,"85,8","42,9",BRC0135B,Nome não encontrado
Carboidrato total,g,"10,6","5,30",BRC0135B,Nome não encontrado
Carboidrato disponível,g,"8,50","4,25",BRC0135B,Nome não encontrado
Proteína,g,"2,05","1,02",BRC0135B,Nome não encontrado
Lipídios,g,"1,21","0,60",BRC0135B,Nome não encontrado
Fibra alimentar,g,"2,08","1,04",BRC0135B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0135B,Nome não encontrado
Cinzas,g,"0,40","0,20",BRC0135B,Nome não encontrado
Colesterol,mg,traços,traços,BRC0135B,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,10",BRC0135B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,79","0,40",BRC0135B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,22","0,11",BRC0135B,Nome não encontrado
Ácidos graxos trans,g,,traços,BRC0135B,Nome não encontrado
Cálcio,mg,"18,8","9,42",BRC0135B,Nome não encontrado
Ferro,mg,"0,55","0,28",BRC0135B,Nome não encontrado
Sódio,mg,"1,19","0,60",BRC0135B,Nome não encontrado
Magnésio,mg,"18,0","8,99",BRC0135B,Nome não encontrado
Fósforo,mg,"35,5","17,7",BRC0135B,Nome não encontrado
Potássio,mg,187,"93,8",BRC0135B,Nome não encontrado
Manganês,mg,"0,37","0,18",BRC0135B,Nome não encontrado
Zinco,mg,"0,58","0,29",BRC0135B,Nome não encontrado
Cobre,mg,"0,12","0,06",BRC0135B,Nome não encontrado
Selênio,mcg,,traços,BRC0135B,Nome não encontrado
Vitamina A (RE),mcg,,traços,BRC0135B,Nome não encontrado
Vitamina A (RAE),mcg,,traços,BRC0135B,Nome não encontrado
Vitamina D,mcg,,traços,BRC0135B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,BRC0135B,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0135B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0135B,Nome não encontrado
Niacina,mg,"0,60","0,30",BRC0135B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0135B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0135B,Nome não encontrado
Vitamina C,mg,"16,2","8,11",BRC0135B,Nome não encontrado
Equivalente de folato,mcg,,traços,BRC0135B,Nome não encontrado
Sal de adição,g,,traços,BRC0135B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0135B,Nome não encontrado
Gordura de adição,g,-,-,BRC0135B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0135B,Nome não encontrado
Proteína animal,g,-,-,BRC0135B,Nome não encontrado
