componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,459,275,BRC1042B,Nome não encontrado
Energia,kcal,109,65,BRC1042B,Nome não encontrado
Umidade,g,"72,9","43,8",BRC1042B,Nome não encontrado
Carboidrato total,g,"23,8","14,3",BRC1042B,Nome não encontrado
Carboidrato disponível,g,"22,5","13,5",BRC1042B,Nome não encontrado
Proteína,g,"1,10","0,66",BRC1042B,Nome não encontrado
Lipídios,g,"1,36","0,82",BRC1042B,Nome não encontrado
Fibra alimentar,g,"1,30","0,78",BRC1042B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1042B,Nome não encontrado
Cinzas,g,"0,80","0,48",BRC1042B,Nome não encontrado
Colesterol,mg,"5,35","3,21",BRC1042B,Nome não encontrado
Ácidos graxos saturados,g,"0,73","0,44",BRC1042B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,19",BRC1042B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,04",BRC1042B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02",BRC1042B,Nome não encontrado
Cálcio,mg,"13,2","7,91",BRC1042B,Nome não encontrado
Ferro,mg,"0,30","0,18",BRC1042B,Nome não encontrado
Sódio,mg,205,123,BRC1042B,Nome não encontrado
Magnésio,mg,"7,05","4,23",BRC1042B,Nome não encontrado
Fósforo,mg,"38,0","22,8",BRC1042B,Nome não encontrado
Potássio,mg,122,"73,2",BRC1042B,Nome não encontrado
Manganês,mg,"0,08","0,05",BRC1042B,Nome não encontrado
Zinco,mg,"0,13","0,08",BRC1042B,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC1042B,Nome não encontrado
Selênio,mcg,"0,17","0,10",BRC1042B,Nome não encontrado
Vitamina A (RE),mcg,108,"64,9",BRC1042B,Nome não encontrado
Vitamina A (RAE),mcg,"69,3","41,6",BRC1042B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1042B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,20",BRC1042B,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC1042B,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC1042B,Nome não encontrado
Niacina,mg,"0,31","0,19",BRC1042B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC1042B,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01",BRC1042B,Nome não encontrado
Vitamina C,mg,"4,50","2,70",BRC1042B,Nome não encontrado
Equivalente de folato,mcg,"7,00","4,20",BRC1042B,Nome não encontrado
Sal de adição,g,"0,41","0,25",BRC1042B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1042B,Nome não encontrado
Gordura de adição,g,-,-,BRC1042B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1042B,Nome não encontrado
Proteína animal,g,-,-,BRC1042B,Nome não encontrado
