componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,76,30,19,BRC0329B,Nome não encontrado
Energia,kcal,18,7,4,BRC0329B,Nome não encontrado
Umidade,g,"93,7","37,5","23,4",BRC0329B,Nome não encontrado
Carboidrato total,g,"4,45","1,78","1,11",BRC0329B,Nome não encontrado
Carboidrato disponível,g,"2,58","1,03","0,64",BRC0329B,Nome não encontrado
Proteína,g,"0,91","0,36","0,23",BRC0329B,Nome não encontrado
Lipídios,g,"0,06","0,02","0,01",BRC0329B,Nome não encontrado
Fibra alimentar,g,"1,87","0,75","0,47",BRC0329B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Cinzas,g,"0,84","0,34","0,21",BRC0329B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00","0,00",BRC0329B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,01",BRC0329B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Cálcio,mg,"38,9","15,6","9,72",BRC0329B,Nome não encontrado
Ferro,mg,"0,16","0,06","0,04",BRC0329B,Nome não encontrado
Sódio,mg,129,"51,6","32,3",BRC0329B,Nome não encontrado
Magnésio,mg,"8,45","3,38","2,11",BRC0329B,Nome não encontrado
Fósforo,mg,"14,4","5,75","3,59",BRC0329B,Nome não encontrado
Potássio,mg,121,"48,5","30,3",BRC0329B,Nome não encontrado
Manganês,mg,"3,83","1,53","0,96",BRC0329B,Nome não encontrado
Zinco,mg,"0,14","0,06","0,03",BRC0329B,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01",BRC0329B,Nome não encontrado
Selênio,mcg,"0,46","0,18","0,12",BRC0329B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01","0,00",BRC0329B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01",BRC0329B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0329B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0329B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0329B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Vitamina C,mg,"3,68","1,47","0,92",BRC0329B,Nome não encontrado
Equivalente de folato,mcg,"5,47","2,19","1,37",BRC0329B,Nome não encontrado
Sal de adição,g,"0,32","0,13","0,08",BRC0329B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0329B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0329B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0329B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0329B,Nome não encontrado
