componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (20 g),codigo_alimento,nome_alimento
Energia,kJ,1281,256,BRC0062G,Nome não encontrado
Energia,kcal,310,61,BRC0062G,Nome não encontrado
Umidade,g,"54,1","10,8",BRC0062G,Nome não encontrado
Carboidrato total,g,"4,12","0,82",BRC0062G,Nome não encontrado
Carboidrato disponível,g,"4,12","0,82",BRC0062G,Nome não encontrado
Proteína,g,"10,5","2,09",BRC0062G,Nome não encontrado
Lipídios,g,"27,9","5,58",BRC0062G,Nome não encontrado
Fibra alimentar,g,,,BRC0062G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0062G,Nome não encontrado
Cinzas,g,"3,42","0,68",BRC0062G,Nome não encontrado
Colesterol,mg,"82,2","16,4",BRC0062G,Nome não encontrado
Ácidos graxos saturados,g,"15,9","3,18",BRC0062G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,30","1,46",BRC0062G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,08",BRC0062G,Nome não encontrado
Ácidos graxos trans,g,"1,03","0,21",BRC0062G,Nome não encontrado
Cálcio,mg,323,"64,7",BRC0062G,Nome não encontrado
Ferro,mg,"0,27","0,05",BRC0062G,Nome não encontrado
Sódio,mg,780,156,BRC0062G,Nome não encontrado
Magnésio,mg,"16,0","3,20",BRC0062G,Nome não encontrado
Fósforo,mg,577,115,BRC0062G,Nome não encontrado
Potássio,mg,193,"38,7",BRC0062G,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0062G,Nome não encontrado
Zinco,mg,"1,31","0,26",BRC0062G,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0062G,Nome não encontrado
Selênio,mcg,,,BRC0062G,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0062G,Nome não encontrado
Vitamina A (RAE),mcg,804,160,BRC0062G,Nome não encontrado
Vitamina D,mcg,,,BRC0062G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0062G,Nome não encontrado
Tiamina,mg,traços,traços,BRC0062G,Nome não encontrado
Riboflavina,mg,"0,20","0,04",BRC0062G,Nome não encontrado
Niacina,mg,traços,traços,BRC0062G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0062G,Nome não encontrado
Vitamina B12,mcg,"1,03","0,21",BRC0062G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0062G,Nome não encontrado
Equivalente de folato,mcg,"4,04","0,81",BRC0062G,Nome não encontrado
Sal de adição,g,,,BRC0062G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0062G,Nome não encontrado
Gordura de adição,g,,,BRC0062G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0062G,Nome não encontrado
Proteína animal,g,"10,5","2,09",BRC0062G,Nome não encontrado
