componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,277,124,166,BRC0287E,Nome não encontrado
Energia,kcal,66,29,39,BRC0287E,Nome não encontrado
Umidade,g,"84,4","38,0","50,7",BRC0287E,Nome não encontrado
Carboidrato total,g,"3,07","1,38","1,84",BRC0287E,Nome não encontrado
Carboidrato disponível,g,"2,28","1,03","1,37",BRC0287E,Nome não encontrado
Proteína,g,"9,36","4,21","5,61",BRC0287E,Nome não encontrado
Lipídios,g,"1,93","0,87","1,16",BRC0287E,Nome não encontrado
Fibra alimentar,g,"0,79","0,35","0,47",BRC0287E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0287E,Nome não encontrado
Cinzas,g,"0,96","0,43","0,58",BRC0287E,Nome não encontrado
Colesterol,mg,120,"54,2","72,3",BRC0287E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,18","0,24",BRC0287E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,17","0,23",BRC0287E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,85","0,38","0,51",BRC0287E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0287E,Nome não encontrado
Cálcio,mg,"53,2","23,9","31,9",BRC0287E,Nome não encontrado
Ferro,mg,"1,32","0,59","0,79",BRC0287E,Nome não encontrado
Sódio,mg,203,"91,7",122,BRC0287E,Nome não encontrado
Magnésio,mg,"14,1","6,37","8,49",BRC0287E,Nome não encontrado
Fósforo,mg,145,"65,3","87,0",BRC0287E,Nome não encontrado
Potássio,mg,119,"53,6","71,5",BRC0287E,Nome não encontrado
Manganês,mg,"0,13","0,06","0,08",BRC0287E,Nome não encontrado
Zinco,mg,"0,66","0,30","0,40",BRC0287E,Nome não encontrado
Cobre,mg,"0,22","0,10","0,13",BRC0287E,Nome não encontrado
Selênio,mcg,"0,13","0,06","0,08",BRC0287E,Nome não encontrado
Vitamina A (RE),mcg,"11,3","5,07","6,76",BRC0287E,Nome não encontrado
Vitamina A (RAE),mcg,"7,60","3,42","4,56",BRC0287E,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,02",BRC0287E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,03","0,46","0,62",BRC0287E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0287E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0287E,Nome não encontrado
Niacina,mg,"0,06","0,03","0,03",BRC0287E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,02",BRC0287E,Nome não encontrado
Vitamina B12,mcg,"0,80","0,36","0,48",BRC0287E,Nome não encontrado
Vitamina C,mg,"13,4","6,04","8,05",BRC0287E,Nome não encontrado
Equivalente de folato,mcg,"17,3","7,80","10,4",BRC0287E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0287E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0287E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0287E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0287E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0287E,Nome não encontrado
