componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,665,332,731,598,BRC0216A,Nome não encontrado
Energia,kcal,158,79,173,142,BRC0216A,Nome não encontrado
Umidade,g,"65,6","32,8","72,2","59,1",BRC0216A,Nome não encontrado
Carboidrato total,g,"25,4","12,7","27,9","22,8",BRC0216A,Nome não encontrado
Carboidrato disponível,g,"24,6","12,3","27,1","22,1",BRC0216A,Nome não encontrado
Proteína,g,"3,44","1,72","3,78","3,09",BRC0216A,Nome não encontrado
Lipídios,g,"4,93","2,47","5,43","4,44",BRC0216A,Nome não encontrado
Fibra alimentar,g,"0,76","0,38","0,84","0,68",BRC0216A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0216A,Nome não encontrado
Cinzas,g,"0,64","0,32","0,71","0,58",BRC0216A,Nome não encontrado
Colesterol,mg,"16,5","8,23","18,1","14,8",BRC0216A,Nome não encontrado
Ácidos graxos saturados,g,"2,74","1,37","3,01","2,47",BRC0216A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,22","0,61","1,34","1,09",BRC0216A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,16","0,36","0,29",BRC0216A,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,09","0,19","0,16",BRC0216A,Nome não encontrado
Cálcio,mg,"6,41","3,20","7,05","5,77",BRC0216A,Nome não encontrado
Ferro,mg,"1,04","0,52","1,15","0,94",BRC0216A,Nome não encontrado
Sódio,mg,190,"95,2",209,171,BRC0216A,Nome não encontrado
Magnésio,mg,"0,08","0,04","0,08","0,07",BRC0216A,Nome não encontrado
Fósforo,mg,"37,6","18,8","41,4","33,8",BRC0216A,Nome não encontrado
Potássio,mg,"26,9","13,5","29,6","24,2",BRC0216A,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0216A,Nome não encontrado
Zinco,mg,"0,27","0,14","0,30","0,24",BRC0216A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0216A,Nome não encontrado
Selênio,mcg,"1,74","0,87","1,92","1,57",BRC0216A,Nome não encontrado
Vitamina A (RE),mcg,"44,0","22,0","48,4","39,6",BRC0216A,Nome não encontrado
Vitamina A (RAE),mcg,"43,4","21,7","47,8","39,1",BRC0216A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0216A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,04","0,08","0,06",BRC0216A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,03","0,03",BRC0216A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,02",BRC0216A,Nome não encontrado
Niacina,mg,"1,30","0,65","1,43","1,17",BRC0216A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,01","0,01",BRC0216A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01","0,01",BRC0216A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0216A,Nome não encontrado
Equivalente de folato,mcg,"63,4","31,7","69,7","57,0",BRC0216A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0216A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0216A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0216A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0216A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0216A,Nome não encontrado
