componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,693,311,415,BRC0303E,Nome não encontrado
Energia,kcal,166,74,99,BRC0303E,Nome não encontrado
Umidade,g,"69,7","31,4","41,8",BRC0303E,Nome não encontrado
Carboidrato total,g,"2,94","1,32","1,76",BRC0303E,Nome não encontrado
Carboidrato disponível,g,"1,52","0,68","0,91",BRC0303E,Nome não encontrado
Proteína,g,"13,8","6,19","8,26",BRC0303E,Nome não encontrado
Lipídios,g,"10,5","4,72","6,29",BRC0303E,Nome não encontrado
Fibra alimentar,g,"1,42","0,64","0,85",BRC0303E,Nome não encontrado
Álcool,g,"0,01","0,00","0,01",BRC0303E,Nome não encontrado
Cinzas,g,"3,07","1,38","1,84",BRC0303E,Nome não encontrado
Colesterol,mg,159,"71,9","95,9",BRC0303E,Nome não encontrado
Ácidos graxos saturados,g,"2,26","1,02","1,35",BRC0303E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,51","2,03","2,71",BRC0303E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,92","1,31","1,75",BRC0303E,Nome não encontrado
Ácidos graxos trans,g,"0,42","0,19","0,25",BRC0303E,Nome não encontrado
Cálcio,mg,"45,3","20,4","27,2",BRC0303E,Nome não encontrado
Ferro,mg,"1,23","0,55","0,74",BRC0303E,Nome não encontrado
Sódio,mg,768,345,461,BRC0303E,Nome não encontrado
Magnésio,mg,"12,3","5,55","7,40",BRC0303E,Nome não encontrado
Fósforo,mg,"85,9","38,7","51,5",BRC0303E,Nome não encontrado
Potássio,mg,123,"55,5","74,0",BRC0303E,Nome não encontrado
Manganês,mg,"0,06","0,03","0,04",BRC0303E,Nome não encontrado
Zinco,mg,"0,69","0,31","0,41",BRC0303E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,04",BRC0303E,Nome não encontrado
Selênio,mcg,"4,83","2,18","2,90",BRC0303E,Nome não encontrado
Vitamina A (RE),mcg,"97,5","43,9","58,5",BRC0303E,Nome não encontrado
Vitamina A (RAE),mcg,"98,1","44,1","58,9",BRC0303E,Nome não encontrado
Vitamina D,mcg,"2,62","1,18","1,57",BRC0303E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,41","1,08","1,44",BRC0303E,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,03",BRC0303E,Nome não encontrado
Riboflavina,mg,"0,20","0,09","0,12",BRC0303E,Nome não encontrado
Niacina,mg,"4,52","2,03","2,71",BRC0303E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,02",BRC0303E,Nome não encontrado
Vitamina B12,mcg,"0,87","0,39","0,52",BRC0303E,Nome não encontrado
Vitamina C,mg,"5,69","2,56","3,42",BRC0303E,Nome não encontrado
Equivalente de folato,mcg,"18,4","8,30","11,1",BRC0303E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0303E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0303E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0303E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0303E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0303E,Nome não encontrado
