componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,479,95,BRC0210T,Nome não encontrado
Energia,kcal,114,22,BRC0210T,Nome não encontrado
Umidade,g,"66,1","13,2",BRC0210T,Nome não encontrado
Carboidrato total,g,"20,1","4,03",BRC0210T,Nome não encontrado
Carboidrato disponível,g,"13,0","2,59",BRC0210T,Nome não encontrado
Proteína,g,"8,38","1,68",BRC0210T,Nome não encontrado
Lipídios,g,"1,58","0,32",BRC0210T,Nome não encontrado
Fibra alimentar,g,"7,19","1,44",BRC0210T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0210T,Nome não encontrado
Cinzas,g,"3,81","0,76",BRC0210T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0210T,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,05",BRC0210T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,06",BRC0210T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,18",BRC0210T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0210T,Nome não encontrado
Cálcio,mg,"43,2","8,64",BRC0210T,Nome não encontrado
Ferro,mg,"7,34","1,47",BRC0210T,Nome não encontrado
Sódio,mg,181,"36,4",BRC0210T,Nome não encontrado
Magnésio,mg,"96,8","19,4",BRC0210T,Nome não encontrado
Fósforo,mg,138,"27,7",BRC0210T,Nome não encontrado
Potássio,mg,395,"79,2",BRC0210T,Nome não encontrado
Manganês,mg,"2,50","0,50",BRC0210T,Nome não encontrado
Zinco,mg,"4,19","0,84",BRC0210T,Nome não encontrado
Cobre,mg,"0,96","0,19",BRC0210T,Nome não encontrado
Selênio,mcg,"0,04","0,01",BRC0210T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0210T,Nome não encontrado
Vitamina A (RAE),mcg,"0,05","0,01",BRC0210T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0210T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,04",BRC0210T,Nome não encontrado
Tiamina,mg,"0,16","0,03",BRC0210T,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0210T,Nome não encontrado
Niacina,mg,"0,55","0,11",BRC0210T,Nome não encontrado
Vitamina B6,mg,"0,13","0,03",BRC0210T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0210T,Nome não encontrado
Vitamina C,mg,"1,55","0,31",BRC0210T,Nome não encontrado
Equivalente de folato,mcg,123,"24,8",BRC0210T,Nome não encontrado
Sal de adição,g,"0,45","0,09",BRC0210T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0210T,Nome não encontrado
Gordura de adição,g,-,-,BRC0210T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0210T,Nome não encontrado
Proteína animal,g,-,-,BRC0210T,Nome não encontrado
