componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,800,479,319,BRC0126K,Nome não encontrado
Energia,kcal,191,114,76,BRC0126K,Nome não encontrado
Umidade,g,"61,3","36,8","24,5",BRC0126K,Nome não encontrado
Carboidrato total,g,"26,1","15,7","10,5",BRC0126K,Nome não encontrado
Carboidrato disponível,g,"25,9","15,6","10,4",BRC0126K,Nome não encontrado
Proteína,g,"3,83","2,30","1,53",BRC0126K,Nome não encontrado
Lipídios,g,"7,89","4,74","3,16",BRC0126K,Nome não encontrado
Fibra alimentar,g,"0,22","0,13","0,09",BRC0126K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0126K,Nome não encontrado
Cinzas,g,"0,81","0,48","0,32",BRC0126K,Nome não encontrado
Colesterol,mg,"47,0","28,2","18,8",BRC0126K,Nome não encontrado
Ácidos graxos saturados,g,"4,01","2,41","1,61",BRC0126K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,92","1,15","0,77",BRC0126K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,28","0,17","0,11",BRC0126K,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,11","0,07",BRC0126K,Nome não encontrado
Cálcio,mg,102,"61,6","41,1",BRC0126K,Nome não encontrado
Ferro,mg,"0,49","0,29","0,20",BRC0126K,Nome não encontrado
Sódio,mg,"55,5","33,3","22,2",BRC0126K,Nome não encontrado
Magnésio,mg,"15,0","8,99","5,99",BRC0126K,Nome não encontrado
Fósforo,mg,"94,8","56,9","37,9",BRC0126K,Nome não encontrado
Potássio,mg,173,103,"69,3",BRC0126K,Nome não encontrado
Manganês,mg,"0,50","0,30","0,20",BRC0126K,Nome não encontrado
Zinco,mg,"0,44","0,26","0,18",BRC0126K,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02",BRC0126K,Nome não encontrado
Selênio,mcg,"5,27","3,16","2,11",BRC0126K,Nome não encontrado
Vitamina A (RE),mcg,"63,1","37,9","25,2",BRC0126K,Nome não encontrado
Vitamina A (RAE),mcg,"61,8","37,1","24,7",BRC0126K,Nome não encontrado
Vitamina D,mcg,"0,40","0,24","0,16",BRC0126K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","0,31","0,21",BRC0126K,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02",BRC0126K,Nome não encontrado
Riboflavina,mg,"0,15","0,09","0,06",BRC0126K,Nome não encontrado
Niacina,mg,"0,30","0,18","0,12",BRC0126K,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,04",BRC0126K,Nome não encontrado
Vitamina B12,mcg,"0,23","0,14","0,09",BRC0126K,Nome não encontrado
Vitamina C,mg,"4,94","2,96","1,97",BRC0126K,Nome não encontrado
Equivalente de folato,mcg,"4,78","2,87","1,91",BRC0126K,Nome não encontrado
Sal de adição,g,,,,BRC0126K,Nome não encontrado
Açúcar de adição,g,,,,BRC0126K,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0126K,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0126K,Nome não encontrado
Proteína animal,g,-,-,-,BRC0126K,Nome não encontrado
