componente,unidade,Valor por 100g,Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,1800,899,BRC1145A,Nome não encontrado
Energia,kcal,429,214,BRC1145A,Nome não encontrado
Umidade,g,"16,6","8,32",BRC1145A,Nome não encontrado
Carboidrato total,g,"55,8","27,9",BRC1145A,Nome não encontrado
Carboidrato disponível,g,"54,9","27,5",BRC1145A,Nome não encontrado
Proteína,g,"7,17","3,59",BRC1145A,Nome não encontrado
Lipídios,g,"19,9","9,97",BRC1145A,Nome não encontrado
Fibra alimentar,g,"0,83","0,41",BRC1145A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1145A,Nome não encontrado
Cinzas,g,"0,80","0,40",BRC1145A,Nome não encontrado
Colesterol,mg,100,"50,2",BRC1145A,Nome não encontrado
Ácidos graxos saturados,g,"4,87","2,43",BRC1145A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,65","2,83",BRC1145A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,69","2,84",BRC1145A,Nome não encontrado
Ácidos graxos trans,g,"2,45","1,23",BRC1145A,Nome não encontrado
Cálcio,mg,"41,2","20,6",BRC1145A,Nome não encontrado
Ferro,mg,"2,36","1,18",BRC1145A,Nome não encontrado
Sódio,mg,"76,9","38,4",BRC1145A,Nome não encontrado
Magnésio,mg,"15,1","7,57",BRC1145A,Nome não encontrado
Fósforo,mg,"98,5","49,2",BRC1145A,Nome não encontrado
Potássio,mg,119,"59,7",BRC1145A,Nome não encontrado
Manganês,mg,"0,15","0,07",BRC1145A,Nome não encontrado
Zinco,mg,"0,72","0,36",BRC1145A,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC1145A,Nome não encontrado
Selênio,mcg,"7,21","3,60",BRC1145A,Nome não encontrado
Vitamina A (RE),mcg,160,"80,4",BRC1145A,Nome não encontrado
Vitamina A (RAE),mcg,160,"80,2",BRC1145A,Nome não encontrado
Vitamina D,mcg,"0,51","0,26",BRC1145A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,61","0,81",BRC1145A,Nome não encontrado
Tiamina,mg,"0,10","0,05",BRC1145A,Nome não encontrado
Riboflavina,mg,"0,18","0,09",BRC1145A,Nome não encontrado
Niacina,mg,"0,75","0,37",BRC1145A,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC1145A,Nome não encontrado
Vitamina B12,mcg,"0,27","0,13",BRC1145A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC1145A,Nome não encontrado
Equivalente de folato,mcg,"74,4","37,2",BRC1145A,Nome não encontrado
Sal de adição,g,"30,0","15,0",BRC1145A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1145A,Nome não encontrado
Gordura de adição,g,-,-,BRC1145A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1145A,Nome não encontrado
Proteína animal,g,-,-,BRC1145A,Nome não encontrado
