componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (20 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,1157,636,231,404,BRC0217K,Nome não encontrado
Energia,kcal,276,151,55,96,BRC0217K,Nome não encontrado
Umidade,g,"44,0","24,2","8,80","15,4",BRC0217K,Nome não encontrado
Carboidrato total,g,"39,7","21,9","7,95","13,9",BRC0217K,Nome não encontrado
Carboidrato disponível,g,"39,1","21,5","7,81","13,7",BRC0217K,Nome não encontrado
Proteína,g,"3,93","2,16","0,79","1,37",BRC0217K,Nome não encontrado
Lipídios,g,"11,4","6,26","2,28","3,98",BRC0217K,Nome não encontrado
Fibra alimentar,g,"0,69","0,38","0,14","0,24",BRC0217K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0217K,Nome não encontrado
Cinzas,g,"0,95","0,52","0,19","0,33",BRC0217K,Nome não encontrado
Colesterol,mg,"52,7","29,0","10,5","18,4",BRC0217K,Nome não encontrado
Ácidos graxos saturados,g,"5,56","3,06","1,11","1,95",BRC0217K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,55","1,95","0,71","1,24",BRC0217K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,40","0,15","0,25",BRC0217K,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,09","0,03","0,06",BRC0217K,Nome não encontrado
Cálcio,mg,149,"82,4","30,0","52,4",BRC0217K,Nome não encontrado
Ferro,mg,"0,87","0,48","0,17","0,31",BRC0217K,Nome não encontrado
Sódio,mg,"90,0","49,5","18,0","31,5",BRC0217K,Nome não encontrado
Magnésio,mg,"37,6","20,7","7,52","13,2",BRC0217K,Nome não encontrado
Fósforo,mg,134,"74,2","27,0","47,2",BRC0217K,Nome não encontrado
Potássio,mg,257,141,"51,5","90,1",BRC0217K,Nome não encontrado
Manganês,mg,"0,32","0,17","0,06","0,11",BRC0217K,Nome não encontrado
Zinco,mg,"1,11","0,61","0,22","0,39",BRC0217K,Nome não encontrado
Cobre,mg,"0,15","0,08","0,03","0,05",BRC0217K,Nome não encontrado
Selênio,mcg,"3,17","1,75","0,63","1,11",BRC0217K,Nome não encontrado
Vitamina A (RE),mcg,"46,2","25,4","9,24","16,2",BRC0217K,Nome não encontrado
Vitamina A (RAE),mcg,"45,0","24,8","9,01","15,8",BRC0217K,Nome não encontrado
Vitamina D,mcg,"0,39","0,21","0,08","0,14",BRC0217K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,17","0,06","0,11",BRC0217K,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,02","0,03",BRC0217K,Nome não encontrado
Riboflavina,mg,"0,18","0,10","0,04","0,06",BRC0217K,Nome não encontrado
Niacina,mg,"1,53","0,84","0,31","0,54",BRC0217K,Nome não encontrado
Vitamina B6,mg,"0,18","0,10","0,04","0,06",BRC0217K,Nome não encontrado
Vitamina B12,mcg,"0,33","0,18","0,07","0,12",BRC0217K,Nome não encontrado
Vitamina C,mg,"2,42","1,33","0,48","0,85",BRC0217K,Nome não encontrado
Equivalente de folato,mcg,"8,18","4,50","1,64","2,86",BRC0217K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0217K,Nome não encontrado
Açúcar de adição,g,,,,,BRC0217K,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0217K,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0217K,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0217K,Nome não encontrado
