componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2643,792,BRC0035U,Nome não encontrado
Energia,kcal,639,191,BRC0035U,Nome não encontrado
Umidade,g,"2,73","0,82",BRC0035U,Nome não encontrado
Carboidrato total,g,"18,7","5,61",BRC0035U,Nome não encontrado
Carboidrato disponível,g,"11,7","3,51",BRC0035U,Nome não encontrado
Proteína,g,"20,9","6,28",BRC0035U,Nome não encontrado
Lipídios,g,"54,9","16,5",BRC0035U,Nome não encontrado
Fibra alimentar,g,"7,00","2,10",BRC0035U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0035U,Nome não encontrado
Cinzas,g,"2,74","0,82",BRC0035U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0035U,Nome não encontrado
Ácidos graxos saturados,g,"11,1","3,33",BRC0035U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"28,3","8,48",BRC0035U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"14,6","4,39",BRC0035U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0035U,Nome não encontrado
Cálcio,mg,"76,8","23,0",BRC0035U,Nome não encontrado
Ferro,mg,"3,36","1,01",BRC0035U,Nome não encontrado
Sódio,mg,167,"50,1",BRC0035U,Nome não encontrado
Magnésio,mg,246,"74,1",BRC0035U,Nome não encontrado
Fósforo,mg,495,148,BRC0035U,Nome não encontrado
Potássio,mg,607,182,BRC0035U,Nome não encontrado
Manganês,mg,"1,42","0,43",BRC0035U,Nome não encontrado
Zinco,mg,"3,82","1,15",BRC0035U,Nome não encontrado
Cobre,mg,"1,34","0,40",BRC0035U,Nome não encontrado
Selênio,mcg,1696,509,BRC0035U,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0035U,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0035U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0035U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,14","1,24",BRC0035U,Nome não encontrado
Tiamina,mg,"0,20","0,06",BRC0035U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0035U,Nome não encontrado
Niacina,mg,"1,49","0,45",BRC0035U,Nome não encontrado
Vitamina B6,mg,"0,35","0,11",BRC0035U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0035U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0035U,Nome não encontrado
Equivalente de folato,mcg,"62,4","18,7",BRC0035U,Nome não encontrado
Sal de adição,g,,,BRC0035U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0035U,Nome não encontrado
Gordura de adição,g,-,-,BRC0035U,Nome não encontrado
Proteína vegetal,g,-,-,BRC0035U,Nome não encontrado
Proteína animal,g,-,-,BRC0035U,Nome não encontrado
