componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,642,385,256,BRC0870B,Nome não encontrado
Energia,kcal,153,91,61,BRC0870B,Nome não encontrado
Umidade,g,"65,8","39,5","26,3",BRC0870B,Nome não encontrado
Carboidrato total,g,"28,2","16,9","11,3",BRC0870B,Nome não encontrado
Carboidrato disponível,g,"26,4","15,9","10,6",BRC0870B,Nome não encontrado
Proteína,g,"0,65","0,39","0,26",BRC0870B,Nome não encontrado
Lipídios,g,"4,54","2,72","1,81",BRC0870B,Nome não encontrado
Fibra alimentar,g,"1,73","1,04","0,69",BRC0870B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0870B,Nome não encontrado
Cinzas,g,"0,90","0,54","0,36",BRC0870B,Nome não encontrado
Colesterol,mg,"10,7","6,42","4,28",BRC0870B,Nome não encontrado
Ácidos graxos saturados,g,"2,65","1,59","1,06",BRC0870B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,17","0,70","0,47",BRC0870B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09","0,06",BRC0870B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06",BRC0870B,Nome não encontrado
Cálcio,mg,"19,3","11,6","7,71",BRC0870B,Nome não encontrado
Ferro,mg,"0,10","0,06","0,04",BRC0870B,Nome não encontrado
Sódio,mg,188,113,"75,5",BRC0870B,Nome não encontrado
Magnésio,mg,"25,5","15,3","10,2",BRC0870B,Nome não encontrado
Fósforo,mg,"21,8","13,1","8,71",BRC0870B,Nome não encontrado
Potássio,mg,"96,8","58,1","38,7",BRC0870B,Nome não encontrado
Manganês,mg,"0,09","0,06","0,04",BRC0870B,Nome não encontrado
Zinco,mg,"0,17","0,10","0,07",BRC0870B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC0870B,Nome não encontrado
Selênio,mcg,"0,52","0,31","0,21",BRC0870B,Nome não encontrado
Vitamina A (RE),mcg,"63,5","38,1","25,4",BRC0870B,Nome não encontrado
Vitamina A (RAE),mcg,"57,1","34,3","22,8",BRC0870B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0870B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,17","0,11",BRC0870B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0870B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0870B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0870B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0870B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00",BRC0870B,Nome não encontrado
Vitamina C,mg,"10,4","6,27","4,18",BRC0870B,Nome não encontrado
Equivalente de folato,mcg,"10,4","6,22","4,15",BRC0870B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19",BRC0870B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0870B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0870B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0870B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0870B,Nome não encontrado
