componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,457,182,BRC1025A,Nome não encontrado
Energia,kcal,108,43,BRC1025A,Nome não encontrado
Umidade,g,"73,3","29,3",BRC1025A,Nome não encontrado
Carboidrato total,g,"22,4","8,96",BRC1025A,Nome não encontrado
Carboidrato disponível,g,"21,1","8,42",BRC1025A,Nome não encontrado
Proteína,g,"2,05","0,82",BRC1025A,Nome não encontrado
Lipídios,g,"1,44","0,57",BRC1025A,Nome não encontrado
Fibra alimentar,g,"1,34","0,54",BRC1025A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1025A,Nome não encontrado
Cinzas,g,"0,83","0,33",BRC1025A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1025A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,12",BRC1025A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,12",BRC1025A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,29",BRC1025A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC1025A,Nome não encontrado
Cálcio,mg,"8,45","3,38",BRC1025A,Nome não encontrado
Ferro,mg,"0,29","0,11",BRC1025A,Nome não encontrado
Sódio,mg,189,"75,6",BRC1025A,Nome não encontrado
Magnésio,mg,"21,6","8,65",BRC1025A,Nome não encontrado
Fósforo,mg,"22,5","9,00",BRC1025A,Nome não encontrado
Potássio,mg,"55,9","22,4",BRC1025A,Nome não encontrado
Manganês,mg,"0,76","0,30",BRC1025A,Nome não encontrado
Zinco,mg,"0,44","0,18",BRC1025A,Nome não encontrado
Cobre,mg,"0,12","0,05",BRC1025A,Nome não encontrado
Selênio,mcg,"1,24","0,49",BRC1025A,Nome não encontrado
Vitamina A (RE),mcg,"19,1","7,63",BRC1025A,Nome não encontrado
Vitamina A (RAE),mcg,"9,54","3,82",BRC1025A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1025A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,07",BRC1025A,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC1025A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1025A,Nome não encontrado
Niacina,mg,traços,traços,BRC1025A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC1025A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1025A,Nome não encontrado
Vitamina C,mg,"0,91","0,36",BRC1025A,Nome não encontrado
Equivalente de folato,mcg,"8,66","3,46",BRC1025A,Nome não encontrado
Sal de adição,g,"0,47","0,19",BRC1025A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1025A,Nome não encontrado
Gordura de adição,g,-,-,BRC1025A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1025A,Nome não encontrado
Proteína animal,g,-,-,BRC1025A,Nome não encontrado
