componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,510,306,BRC0113T,Nome não encontrado
Energia,kcal,121,72,BRC0113T,Nome não encontrado
Umidade,g,"66,2","39,7",BRC0113T,Nome não encontrado
Carboidrato total,g,"23,1","13,9",BRC0113T,Nome não encontrado
Carboidrato disponível,g,"16,9","10,2",BRC0113T,Nome não encontrado
Proteína,g,"8,91","5,34",BRC0113T,Nome não encontrado
Lipídios,g,"0,58","0,35",BRC0113T,Nome não encontrado
Fibra alimentar,g,"6,20","3,72",BRC0113T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0113T,Nome não encontrado
Cinzas,g,"1,22","0,73",BRC0113T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0113T,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,10",BRC0113T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,03",BRC0113T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,14",BRC0113T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0113T,Nome não encontrado
Cálcio,mg,"14,1","8,44",BRC0113T,Nome não encontrado
Ferro,mg,"1,92","1,15",BRC0113T,Nome não encontrado
Sódio,mg,"6,00","3,60",BRC0113T,Nome não encontrado
Magnésio,mg,136,"81,6",BRC0113T,Nome não encontrado
Fósforo,mg,123,"73,8",BRC0113T,Nome não encontrado
Potássio,mg,488,292,BRC0113T,Nome não encontrado
Manganês,mg,"1,07","0,64",BRC0113T,Nome não encontrado
Zinco,mg,"1,93","1,16",BRC0113T,Nome não encontrado
Cobre,mg,"0,37","0,22",BRC0113T,Nome não encontrado
Selênio,mcg,,,BRC0113T,Nome não encontrado
Vitamina A (RE),mcg,"0,33","0,20",BRC0113T,Nome não encontrado
Vitamina A (RAE),mcg,"0,17","0,10",BRC0113T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0113T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0113T,Nome não encontrado
Tiamina,mg,"0,17","0,10",BRC0113T,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0113T,Nome não encontrado
Niacina,mg,"0,71","0,43",BRC0113T,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC0113T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0113T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0113T,Nome não encontrado
Equivalente de folato,mcg,"4,00","2,40",BRC0113T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0113T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0113T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0113T,Nome não encontrado
Proteína vegetal,g,"8,91","5,34",BRC0113T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0113T,Nome não encontrado
