componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 unidade),codigo_alimento,nome_alimento
Energia,kJ,596,297,BRC0593A,Nome não encontrado
Energia,kcal,142,70,BRC0593A,Nome não encontrado
Umidade,g,"67,7","33,9",BRC0593A,Nome não encontrado
Carboidrato total,g,"20,6","10,3",BRC0593A,Nome não encontrado
Carboidrato disponível,g,"19,4","9,70",BRC0593A,Nome não encontrado
Proteína,g,"6,14","3,07",BRC0593A,Nome não encontrado
Lipídios,g,"4,12","2,06",BRC0593A,Nome não encontrado
Fibra alimentar,g,"1,15","0,58",BRC0593A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0593A,Nome não encontrado
Cinzas,g,"1,50","0,75",BRC0593A,Nome não encontrado
Colesterol,mg,"20,3","10,2",BRC0593A,Nome não encontrado
Ácidos graxos saturados,g,"1,99","0,99",BRC0593A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","0,56",BRC0593A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,66","0,33",BRC0593A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02",BRC0593A,Nome não encontrado
Cálcio,mg,"84,9","42,5",BRC0593A,Nome não encontrado
Ferro,mg,"1,15","0,58",BRC0593A,Nome não encontrado
Sódio,mg,354,177,BRC0593A,Nome não encontrado
Magnésio,mg,"11,9","5,96",BRC0593A,Nome não encontrado
Fósforo,mg,"75,3","37,6",BRC0593A,Nome não encontrado
Potássio,mg,111,"55,5",BRC0593A,Nome não encontrado
Manganês,mg,"0,21","0,10",BRC0593A,Nome não encontrado
Zinco,mg,"0,43","0,21",BRC0593A,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0593A,Nome não encontrado
Selênio,mcg,"3,20","1,60",BRC0593A,Nome não encontrado
Vitamina A (RE),mcg,"55,4","27,7",BRC0593A,Nome não encontrado
Vitamina A (RAE),mcg,"50,0","25,0",BRC0593A,Nome não encontrado
Vitamina D,mcg,"0,06","0,03",BRC0593A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,64","0,32",BRC0593A,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0593A,Nome não encontrado
Riboflavina,mg,"0,11","0,06",BRC0593A,Nome não encontrado
Niacina,mg,"2,42","1,21",BRC0593A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0593A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,09",BRC0593A,Nome não encontrado
Vitamina C,mg,"0,15","0,08",BRC0593A,Nome não encontrado
Equivalente de folato,mcg,"66,6","33,3",BRC0593A,Nome não encontrado
Sal de adição,g,"0,47","0,24",BRC0593A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0593A,Nome não encontrado
Gordura de adição,g,-,-,BRC0593A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0593A,Nome não encontrado
Proteína animal,g,-,-,BRC0593A,Nome não encontrado
