componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,586,293,644,527,BRC0220A,Nome não encontrado
Energia,kcal,139,69,152,124,BRC0220A,Nome não encontrado
Umidade,g,"67,7","33,9","74,5","60,9",BRC0220A,Nome não encontrado
Carboidrato total,g,"24,6","12,3","27,1","22,2",BRC0220A,Nome não encontrado
Carboidrato disponível,g,"23,9","12,0","26,3","21,5",BRC0220A,Nome não encontrado
Proteína,g,"3,97","1,98","4,36","3,57",BRC0220A,Nome não encontrado
Lipídios,g,"2,88","1,44","3,16","2,59",BRC0220A,Nome não encontrado
Fibra alimentar,g,"0,69","0,35","0,76","0,62",BRC0220A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0220A,Nome não encontrado
Cinzas,g,"0,83","0,42","0,91","0,75",BRC0220A,Nome não encontrado
Colesterol,mg,"8,59","4,30","9,45","7,73",BRC0220A,Nome não encontrado
Ácidos graxos saturados,g,"1,17","0,59","1,29","1,05",BRC0220A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,67","0,34","0,74","0,61",BRC0220A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,39","0,86","0,70",BRC0220A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,04","0,03",BRC0220A,Nome não encontrado
Cálcio,mg,"37,7","18,8","41,5","33,9",BRC0220A,Nome não encontrado
Ferro,mg,"0,99","0,49","1,09","0,89",BRC0220A,Nome não encontrado
Sódio,mg,209,104,230,188,BRC0220A,Nome não encontrado
Magnésio,mg,"3,45","1,72","3,79","3,10",BRC0220A,Nome não encontrado
Fósforo,mg,"58,2","29,1","64,0","52,4",BRC0220A,Nome não encontrado
Potássio,mg,"64,3","32,2","70,7","57,9",BRC0220A,Nome não encontrado
Manganês,mg,"0,01","0,01","0,01","0,01",BRC0220A,Nome não encontrado
Zinco,mg,"0,36","0,18","0,39","0,32",BRC0220A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0220A,Nome não encontrado
Selênio,mcg,"2,98","1,49","3,27","2,68",BRC0220A,Nome não encontrado
Vitamina A (RE),mcg,"19,7","9,85","21,7","17,7",BRC0220A,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","9,73","21,4","17,5",BRC0220A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0220A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,16","0,35","0,29",BRC0220A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,05","0,04",BRC0220A,Nome não encontrado
Riboflavina,mg,"0,08","0,04","0,09","0,07",BRC0220A,Nome não encontrado
Niacina,mg,"1,54","0,77","1,70","1,39",BRC0220A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,01","0,01",BRC0220A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,05","0,12","0,10",BRC0220A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0220A,Nome não encontrado
Equivalente de folato,mcg,"58,4","29,2","64,2","52,5",BRC0220A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0220A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0220A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0220A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0220A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0220A,Nome não encontrado
