componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,265,119,158,BRC0290E,Nome não encontrado
Energia,kcal,63,28,37,BRC0290E,Nome não encontrado
Umidade,g,"84,8","38,2","50,9",BRC0290E,Nome não encontrado
Carboidrato total,g,"3,23","1,45","1,94",BRC0290E,Nome não encontrado
Carboidrato disponível,g,"2,31","1,04","1,39",BRC0290E,Nome não encontrado
Proteína,g,"8,63","3,88","5,18",BRC0290E,Nome não encontrado
Lipídios,g,"1,89","0,85","1,14",BRC0290E,Nome não encontrado
Fibra alimentar,g,"0,92","0,41","0,55",BRC0290E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0290E,Nome não encontrado
Cinzas,g,"1,44","0,65","0,86",BRC0290E,Nome não encontrado
Colesterol,mg,108,"48,8","65,1",BRC0290E,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,17","0,23",BRC0290E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,17","0,23",BRC0290E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,85","0,38","0,51",BRC0290E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0290E,Nome não encontrado
Cálcio,mg,"50,3","22,7","30,2",BRC0290E,Nome não encontrado
Ferro,mg,"1,32","0,60","0,79",BRC0290E,Nome não encontrado
Sódio,mg,389,175,233,BRC0290E,Nome não encontrado
Magnésio,mg,"13,9","6,25","8,33",BRC0290E,Nome não encontrado
Fósforo,mg,134,"60,7","81,0",BRC0290E,Nome não encontrado
Potássio,mg,155,"70,2","93,5",BRC0290E,Nome não encontrado
Manganês,mg,"0,13","0,06","0,08",BRC0290E,Nome não encontrado
Zinco,mg,"0,62","0,28","0,37",BRC0290E,Nome não encontrado
Cobre,mg,"0,21","0,10","0,13",BRC0290E,Nome não encontrado
Selênio,mcg,"0,12","0,05","0,07",BRC0290E,Nome não encontrado
Vitamina A (RE),mcg,"82,0","36,9","49,2",BRC0290E,Nome não encontrado
Vitamina A (RAE),mcg,"45,4","20,4","27,2",BRC0290E,Nome não encontrado
Vitamina D,mcg,"0,03","0,02","0,02",BRC0290E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,56","0,75",BRC0290E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0290E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01",BRC0290E,Nome não encontrado
Niacina,mg,"0,28","0,13","0,17",BRC0290E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0290E,Nome não encontrado
Vitamina B12,mcg,"0,72","0,32","0,43",BRC0290E,Nome não encontrado
Vitamina C,mg,"25,6","11,5","15,4",BRC0290E,Nome não encontrado
Equivalente de folato,mcg,"16,0","7,20","9,60",BRC0290E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0290E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0290E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0290E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0290E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0290E,Nome não encontrado
