componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2329,698,BRC0018U,Nome não encontrado
Energia,kcal,560,168,BRC0018U,Nome não encontrado
Umidade,g,"2,90","0,87",BRC0018U,Nome não encontrado
Carboidrato total,g,"40,9","12,3",BRC0018U,Nome não encontrado
Carboidrato disponível,g,"32,6","9,79",BRC0018U,Nome não encontrado
Proteína,g,"15,5","4,66",BRC0018U,Nome não encontrado
Lipídios,g,"39,0","11,7",BRC0018U,Nome não encontrado
Fibra alimentar,g,"8,30","2,49",BRC0018U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0018U,Nome não encontrado
Cinzas,g,"1,61","0,48",BRC0018U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0018U,Nome não encontrado
Ácidos graxos saturados,g,"3,96","1,19",BRC0018U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"26,6","7,99",BRC0018U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"13,4","4,01",BRC0018U,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,03",BRC0018U,Nome não encontrado
Cálcio,mg,188,"56,4",BRC0018U,Nome não encontrado
Ferro,mg,"2,82","0,85",BRC0018U,Nome não encontrado
Sódio,mg,"5,36","1,61",BRC0018U,Nome não encontrado
Magnésio,mg,172,"51,8",BRC0018U,Nome não encontrado
Fósforo,mg,371,111,BRC0018U,Nome não encontrado
Potássio,mg,521,156,BRC0018U,Nome não encontrado
Manganês,mg,"1,96","0,59",BRC0018U,Nome não encontrado
Zinco,mg,"1,96","0,59",BRC0018U,Nome não encontrado
Cobre,mg,"0,71","0,21",BRC0018U,Nome não encontrado
Selênio,mcg,"1,48","0,44",BRC0018U,Nome não encontrado
Vitamina A (RE),mcg,"0,13","0,04",BRC0018U,Nome não encontrado
Vitamina A (RAE),mcg,"0,06","0,02",BRC0018U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0018U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"17,9","5,38",BRC0018U,Nome não encontrado
Tiamina,mg,"0,22","0,06",BRC0018U,Nome não encontrado
Riboflavina,mg,"0,13","0,04",BRC0018U,Nome não encontrado
Niacina,mg,traços,traços,BRC0018U,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0018U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0018U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0018U,Nome não encontrado
Equivalente de folato,mcg,"40,8","12,2",BRC0018U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0018U,Nome não encontrado
Açúcar de adição,g,"25,0","7,50",BRC0018U,Nome não encontrado
Gordura de adição,g,-,-,BRC0018U,Nome não encontrado
Proteína vegetal,g,-,-,BRC0018U,Nome não encontrado
Proteína animal,g,-,-,BRC0018U,Nome não encontrado
