componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Umidade,g,"84,5",202,139,BRC1090A,Nome não encontrado
Carboidrato total,g,"13,2","31,7","21,8",BRC1090A,Nome não encontrado
Carboidrato disponível,g,"11,9","28,6","19,7",BRC1090A,Nome não encontrado
Proteína,g,"0,57","1,37","0,94",BRC1090A,Nome não encontrado
Lipídios,g,"1,26","3,01","2,07",BRC1090A,Nome não encontrado
Fibra alimentar,g,"1,26","3,03","2,08",BRC1090A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1090A,Nome não encontrado
Cinzas,g,"0,43","1,04","0,71",BRC1090A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1090A,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,49","0,34",BRC1090A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,69","1,65","1,14",BRC1090A,Nome não encontrado
Ácidos graxos poliinsaturados,g,166,399,274,BRC1090A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1090A,Nome não encontrado
Cálcio,mg,"70,7",169,116,BRC1090A,Nome não encontrado
Ferro,mg,"0,39","0,93","0,64",BRC1090A,Nome não encontrado
Sódio,mg,"21,8","52,3","36,0",BRC1090A,Nome não encontrado
Magnésio,mg,"16,8","40,4","27,8",BRC1090A,Nome não encontrado
Fósforo,mg,"37,8","90,7","62,4",BRC1090A,Nome não encontrado
Potássio,mg,125,300,206,BRC1090A,Nome não encontrado
Manganês,mg,"0,28","0,67","0,46",BRC1090A,Nome não encontrado
Zinco,mg,"0,14","0,34","0,23",BRC1090A,Nome não encontrado
Cobre,mg,"19,9","47,7","32,8",BRC1090A,Nome não encontrado
Selênio,mcg,"1,30","3,12","2,14",BRC1090A,Nome não encontrado
Vitamina A (RE),mcg,"33,7","80,9","55,6",BRC1090A,Nome não encontrado
Vitamina A (RAE),mcg,"50,4",120,"83,1",BRC1090A,Nome não encontrado
Vitamina D,mcg,"0,53","1,28","0,88",BRC1090A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,77","0,53",BRC1090A,Nome não encontrado
Tiamina,mg,"14,4","34,5","23,7",BRC1090A,Nome não encontrado
Riboflavina,mg,"75,5",181,124,BRC1090A,Nome não encontrado
Niacina,mg,"0,32","0,77","0,53",BRC1090A,Nome não encontrado
Vitamina B6,mg,"20,8","49,8","34,3",BRC1090A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1090A,Nome não encontrado
Vitamina C,mg,"19,3","46,4","31,9",BRC1090A,Nome não encontrado
Equivalente de folato,mcg,"16,3","39,2","27,0",BRC1090A,Nome não encontrado
Sal de adição,g,"2,50","6,00","4,13",BRC1090A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1090A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1090A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1090A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1090A,Nome não encontrado
