componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,233,46,302,BRC0230T,Nome não encontrado
Energia,kcal,55,11,72,BRC0230T,Nome não encontrado
Umidade,g,"82,0","16,4",106,BRC0230T,Nome não encontrado
Carboidrato total,g,"10,0","2,00","13,0",BRC0230T,Nome não encontrado
Carboidrato disponível,g,"7,04","1,41","9,15",BRC0230T,Nome não encontrado
Proteína,g,"5,29","1,06","6,88",BRC0230T,Nome não encontrado
Lipídios,g,"1,74","0,35","2,26",BRC0230T,Nome não encontrado
Fibra alimentar,g,"2,97","0,59","3,85",BRC0230T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0230T,Nome não encontrado
Cinzas,g,"0,94","0,19","1,22",BRC0230T,Nome não encontrado
Colesterol,mg,"6,18","1,24","8,04",BRC0230T,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,09","0,61",BRC0230T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,53","0,11","0,69",BRC0230T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,12","0,76",BRC0230T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,03",BRC0230T,Nome não encontrado
Cálcio,mg,"15,3","3,06","19,9",BRC0230T,Nome não encontrado
Ferro,mg,"0,73","0,15","0,95",BRC0230T,Nome não encontrado
Sódio,mg,187,"37,6",244,BRC0230T,Nome não encontrado
Magnésio,mg,"15,1","3,02","19,6",BRC0230T,Nome não encontrado
Fósforo,mg,"55,5","11,1","72,2",BRC0230T,Nome não encontrado
Potássio,mg,165,"33,1",215,BRC0230T,Nome não encontrado
Manganês,mg,"0,17","0,03","0,22",BRC0230T,Nome não encontrado
Zinco,mg,"1,25","0,25","1,63",BRC0230T,Nome não encontrado
Cobre,mg,"0,18","0,04","0,23",BRC0230T,Nome não encontrado
Selênio,mcg,"1,05","0,21","1,36",BRC0230T,Nome não encontrado
Vitamina A (RE),mcg,"82,2","16,4",106,BRC0230T,Nome não encontrado
Vitamina A (RAE),mcg,"41,3","8,26","53,7",BRC0230T,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,04",BRC0230T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,14","0,23","1,48",BRC0230T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0230T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0230T,Nome não encontrado
Niacina,mg,"0,34","0,07","0,44",BRC0230T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0230T,Nome não encontrado
Vitamina B12,mcg,"0,14","0,03","0,18",BRC0230T,Nome não encontrado
Vitamina C,mg,"2,95","0,59","3,84",BRC0230T,Nome não encontrado
Equivalente de folato,mcg,"34,5","6,90","44,8",BRC0230T,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC0230T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0230T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0230T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0230T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0230T,Nome não encontrado
