componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1299,194,BRC1163A,Nome não encontrado
Energia,kcal,308,46,BRC1163A,Nome não encontrado
Umidade,g,"13,3","2,00",BRC1163A,Nome não encontrado
Carboidrato total,g,"71,6","10,7",BRC1163A,Nome não encontrado
Carboidrato disponível,g,"53,5","8,03",BRC1163A,Nome não encontrado
Proteína,g,"12,1","1,82",BRC1163A,Nome não encontrado
Lipídios,g,"1,03","0,15",BRC1163A,Nome não encontrado
Fibra alimentar,g,"18,1","2,71",BRC1163A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1163A,Nome não encontrado
Cinzas,g,"1,90","0,28",BRC1163A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1163A,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,03",BRC1163A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,01",BRC1163A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,47","0,07",BRC1163A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1163A,Nome não encontrado
Cálcio,mg,"25,5","3,83",BRC1163A,Nome não encontrado
Ferro,mg,"2,31","0,35",BRC1163A,Nome não encontrado
Sódio,mg,"3,37","0,51",BRC1163A,Nome não encontrado
Magnésio,mg,"64,5","9,68",BRC1163A,Nome não encontrado
Fósforo,mg,236,"35,5",BRC1163A,Nome não encontrado
Potássio,mg,316,"47,5",BRC1163A,Nome não encontrado
Manganês,mg,"1,25","0,19",BRC1163A,Nome não encontrado
Zinco,mg,,,BRC1163A,Nome não encontrado
Cobre,mg,"0,12","0,02",BRC1163A,Nome não encontrado
Selênio,mcg,"2,22","0,33",BRC1163A,Nome não encontrado
Vitamina A (RE),mcg,,,BRC1163A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC1163A,Nome não encontrado
Vitamina D,mcg,,,BRC1163A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,02",BRC1163A,Nome não encontrado
Tiamina,mg,"0,15","0,02",BRC1163A,Nome não encontrado
Riboflavina,mg,"0,07","0,01",BRC1163A,Nome não encontrado
Niacina,mg,"5,30","0,79",BRC1163A,Nome não encontrado
Vitamina B6,mg,"0,29","0,04",BRC1163A,Nome não encontrado
Vitamina B12,mcg,traços,traços,BRC1163A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC1163A,Nome não encontrado
Equivalente de folato,mcg,"32,7","4,91",BRC1163A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1163A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1163A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC1163A,Nome não encontrado
Proteína vegetal,g,"12,1","1,82",BRC1163A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC1163A,Nome não encontrado
