componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,376,902,620,751,BRC0103G,Nome não encontrado
Energia,kcal,90,216,148,180,BRC0103G,Nome não encontrado
Umidade,g,"79,6",191,131,159,BRC0103G,Nome não encontrado
Carboidrato total,g,"10,8","25,8","17,8","21,5",BRC0103G,Nome não encontrado
Carboidrato disponível,g,"7,06","16,9","11,6","14,1",BRC0103G,Nome não encontrado
Proteína,g,"4,42","10,6","7,29","8,84",BRC0103G,Nome não encontrado
Lipídios,g,"4,09","9,81","6,74","8,17",BRC0103G,Nome não encontrado
Fibra alimentar,g,"3,70","8,88","6,11","7,40",BRC0103G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0103G,Nome não encontrado
Cinzas,g,"1,15","2,75","1,89","2,29",BRC0103G,Nome não encontrado
Colesterol,mg,"10,4","24,9","17,1","20,8",BRC0103G,Nome não encontrado
Ácidos graxos saturados,g,"2,50","6,00","4,12","5,00",BRC0103G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,24","2,98","2,05","2,48",BRC0103G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,35","0,24","0,29",BRC0103G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0103G,Nome não encontrado
Cálcio,mg,102,246,169,205,BRC0103G,Nome não encontrado
Ferro,mg,"1,45","3,48","2,39","2,90",BRC0103G,Nome não encontrado
Sódio,mg,"55,7",133,"91,8",111,BRC0103G,Nome não encontrado
Magnésio,mg,"58,1",139,"95,8",116,BRC0103G,Nome não encontrado
Fósforo,mg,142,341,234,284,BRC0103G,Nome não encontrado
Potássio,mg,264,634,436,528,BRC0103G,Nome não encontrado
Manganês,mg,"0,38","0,92","0,63","0,77",BRC0103G,Nome não encontrado
Zinco,mg,"1,00","2,41","1,65","2,01",BRC0103G,Nome não encontrado
Cobre,mg,"0,40","0,95","0,65","0,79",BRC0103G,Nome não encontrado
Selênio,mcg,"5,47","13,1","9,02","10,9",BRC0103G,Nome não encontrado
Vitamina A (RE),mcg,"41,7",100,"68,8","83,3",BRC0103G,Nome não encontrado
Vitamina A (RAE),mcg,"41,0","98,4","67,6","82,0",BRC0103G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0103G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,18","0,12","0,15",BRC0103G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07","0,08",BRC0103G,Nome não encontrado
Riboflavina,mg,"0,23","0,54","0,37","0,45",BRC0103G,Nome não encontrado
Niacina,mg,"1,50","3,59","2,47","2,99",BRC0103G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0103G,Nome não encontrado
Vitamina B12,mcg,"0,31","0,75","0,52","0,63",BRC0103G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0103G,Nome não encontrado
Equivalente de folato,mcg,"7,55","18,1","12,5","15,1",BRC0103G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0103G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0103G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0103G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0103G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0103G,Nome não encontrado
