componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,393,98,BRC0019A,Nome não encontrado
Energia,kcal,94,23,BRC0019A,Nome não encontrado
Umidade,g,"76,7","19,2",BRC0019A,Nome não encontrado
Carboidrato total,g,"16,1","4,03",BRC0019A,Nome não encontrado
Carboidrato disponível,g,"12,0","3,00",BRC0019A,Nome não encontrado
Proteína,g,"4,18","1,05",BRC0019A,Nome não encontrado
Lipídios,g,"2,31","0,58",BRC0019A,Nome não encontrado
Fibra alimentar,g,"4,11","1,03",BRC0019A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0019A,Nome não encontrado
Cinzas,g,"0,67","0,17",BRC0019A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0019A,Nome não encontrado
Ácidos graxos saturados,g,"0,44","0,11",BRC0019A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,78","0,20",BRC0019A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,23",BRC0019A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0019A,Nome não encontrado
Cálcio,mg,"14,5","3,64",BRC0019A,Nome não encontrado
Ferro,mg,"1,28","0,32",BRC0019A,Nome não encontrado
Sódio,mg,"1,45","0,36",BRC0019A,Nome não encontrado
Magnésio,mg,"58,2","14,5",BRC0019A,Nome não encontrado
Fósforo,mg,173,"43,3",BRC0019A,Nome não encontrado
Potássio,mg,133,"33,5",BRC0019A,Nome não encontrado
Manganês,mg,"1,40","0,35",BRC0019A,Nome não encontrado
Zinco,mg,"0,77","0,19",BRC0019A,Nome não encontrado
Cobre,mg,"0,10","0,03",BRC0019A,Nome não encontrado
Selênio,mcg,,,BRC0019A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0019A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0019A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0019A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0019A,Nome não encontrado
Tiamina,mg,"0,23","0,06",BRC0019A,Nome não encontrado
Riboflavina,mg,"0,05","0,01",BRC0019A,Nome não encontrado
Niacina,mg,"0,21","0,05",BRC0019A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0019A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0019A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0019A,Nome não encontrado
Equivalente de folato,mcg,"8,73","2,18",BRC0019A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0019A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0019A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0019A,Nome não encontrado
Proteína vegetal,g,"4,18","1,05",BRC0019A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0019A,Nome não encontrado
