componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,613,153,BRC1071B,Nome não encontrado
Energia,kcal,147,36,BRC1071B,Nome não encontrado
Umidade,g,"73,1","18,3",BRC1071B,Nome não encontrado
Carboidrato total,g,"15,4","3,85",BRC1071B,Nome não encontrado
Carboidrato disponível,g,"13,5","3,37",BRC1071B,Nome não encontrado
Proteína,g,"1,56","0,39",BRC1071B,Nome não encontrado
Lipídios,g,"9,08","2,27",BRC1071B,Nome não encontrado
Fibra alimentar,g,"1,93","0,48",BRC1071B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1071B,Nome não encontrado
Cinzas,g,"0,90","0,23",BRC1071B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1071B,Nome não encontrado
Ácidos graxos saturados,g,"1,48","0,37",BRC1071B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,13","0,53",BRC1071B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,34","1,34",BRC1071B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01",BRC1071B,Nome não encontrado
Cálcio,mg,"9,57","2,39",BRC1071B,Nome não encontrado
Ferro,mg,"0,73","0,18",BRC1071B,Nome não encontrado
Sódio,mg,256,"64,2",BRC1071B,Nome não encontrado
Magnésio,mg,"5,93","1,48",BRC1071B,Nome não encontrado
Fósforo,mg,"22,9","5,73",BRC1071B,Nome não encontrado
Potássio,mg,"92,7","23,2",BRC1071B,Nome não encontrado
Manganês,mg,"0,08","0,02",BRC1071B,Nome não encontrado
Zinco,mg,"0,18","0,05",BRC1071B,Nome não encontrado
Cobre,mg,"0,04","0,01",BRC1071B,Nome não encontrado
Selênio,mcg,"0,70","0,17",BRC1071B,Nome não encontrado
Vitamina A (RE),mcg,153,"38,3",BRC1071B,Nome não encontrado
Vitamina A (RAE),mcg,"76,7","19,2",BRC1071B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1071B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,11",BRC1071B,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC1071B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1071B,Nome não encontrado
Niacina,mg,"0,39","0,10",BRC1071B,Nome não encontrado
Vitamina B6,mg,"0,07","0,02",BRC1071B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1071B,Nome não encontrado
Vitamina C,mg,"1,03","0,26",BRC1071B,Nome não encontrado
Equivalente de folato,mcg,"39,1","9,77",BRC1071B,Nome não encontrado
Sal de adição,g,"0,32","0,08",BRC1071B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1071B,Nome não encontrado
Gordura de adição,g,-,-,BRC1071B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1071B,Nome não encontrado
Proteína animal,g,-,-,BRC1071B,Nome não encontrado
