componente,unidade,Valor por 100g,Dose/ Taça (50 mL),codigo_alimento,nome_alimento
Energia,kJ,473,236,BRC0155H,Nome não encontrado
Energia,kcal,111,55,BRC0155H,Nome não encontrado
Umidade,g,"75,2","37,6",BRC0155H,Nome não encontrado
Carboidrato total,g,"24,6","12,3",BRC0155H,Nome não encontrado
Carboidrato disponível,g,"24,6","12,3",BRC0155H,Nome não encontrado
Proteína,g,"0,09","0,04",BRC0155H,Nome não encontrado
Lipídios,g,"0,01","0,00",BRC0155H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0155H,Nome não encontrado
Álcool,g,"1,83","0,92",BRC0155H,Nome não encontrado
Cinzas,g,"0,12","0,06",BRC0155H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0155H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0155H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0155H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0155H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0155H,Nome não encontrado
Cálcio,mg,"11,5","5,73",BRC0155H,Nome não encontrado
Ferro,mg,"0,55","0,27",BRC0155H,Nome não encontrado
Sódio,mg,"3,17","1,58",BRC0155H,Nome não encontrado
Magnésio,mg,"6,79","3,40",BRC0155H,Nome não encontrado
Fósforo,mg,"3,40","1,70",BRC0155H,Nome não encontrado
Potássio,mg,"44,3","22,2",BRC0155H,Nome não encontrado
Manganês,mg,"0,51","0,25",BRC0155H,Nome não encontrado
Zinco,mg,"0,04","0,02",BRC0155H,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0155H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0155H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0155H,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0155H,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0155H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0155H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0155H,Nome não encontrado
Açúcar de adição,g,"25,0","12,5",BRC0155H,Nome não encontrado
Gordura de adição,g,-,-,BRC0155H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0155H,Nome não encontrado
Proteína animal,g,-,-,BRC0155H,Nome não encontrado
