componente,unidade,Valor por 100g,Concha cheia (150 g),codigo_alimento,nome_alimento
Energia,kJ,391,586,BRC0219T,Nome não encontrado
Energia,kcal,94,140,BRC0219T,Nome não encontrado
Umidade,g,"76,7",115,BRC0219T,Nome não encontrado
Carboidrato total,g,"11,5","17,2",BRC0219T,Nome não encontrado
Carboidrato disponível,g,"5,68","8,52",BRC0219T,Nome não encontrado
Proteína,g,"7,89","11,8",BRC0219T,Nome não encontrado
Lipídios,g,"3,08","4,62",BRC0219T,Nome não encontrado
Fibra alimentar,g,"5,81","8,71",BRC0219T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0219T,Nome não encontrado
Cinzas,g,"0,79","1,18",BRC0219T,Nome não encontrado
Colesterol,mg,"15,5","23,2",BRC0219T,Nome não encontrado
Ácidos graxos saturados,g,"0,98","1,47",BRC0219T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,96","1,44",BRC0219T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,87","1,30",BRC0219T,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,06",BRC0219T,Nome não encontrado
Cálcio,mg,"22,1","33,1",BRC0219T,Nome não encontrado
Ferro,mg,"1,42","2,13",BRC0219T,Nome não encontrado
Sódio,mg,"21,2","31,8",BRC0219T,Nome não encontrado
Magnésio,mg,"34,4","51,7",BRC0219T,Nome não encontrado
Fósforo,mg,103,155,BRC0219T,Nome não encontrado
Potássio,mg,272,408,BRC0219T,Nome não encontrado
Manganês,mg,"0,28","0,42",BRC0219T,Nome não encontrado
Zinco,mg,"1,93","2,89",BRC0219T,Nome não encontrado
Cobre,mg,"0,16","0,24",BRC0219T,Nome não encontrado
Selênio,mcg,"0,76","1,14",BRC0219T,Nome não encontrado
Vitamina A (RE),mcg,"2,33","3,49",BRC0219T,Nome não encontrado
Vitamina A (RAE),mcg,"2,42","3,63",BRC0219T,Nome não encontrado
Vitamina D,mcg,"0,02","0,02",BRC0219T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,72","1,07",BRC0219T,Nome não encontrado
Tiamina,mg,"0,05","0,08",BRC0219T,Nome não encontrado
Riboflavina,mg,"0,05","0,08",BRC0219T,Nome não encontrado
Niacina,mg,"0,85","1,27",BRC0219T,Nome não encontrado
Vitamina B6,mg,"0,03","0,05",BRC0219T,Nome não encontrado
Vitamina B12,mcg,"0,42","0,62",BRC0219T,Nome não encontrado
Vitamina C,mg,"7,28","10,9",BRC0219T,Nome não encontrado
Equivalente de folato,mcg,"70,6",105,BRC0219T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0219T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0219T,Nome não encontrado
Gordura de adição,g,-,-,BRC0219T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0219T,Nome não encontrado
Proteína animal,g,-,-,BRC0219T,Nome não encontrado
