componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,548,246,BRC0379E,Nome não encontrado
Energia,kcal,131,58,BRC0379E,Nome não encontrado
Umidade,g,"73,6","33,1",BRC0379E,Nome não encontrado
Carboidrato total,g,"5,77","2,60",BRC0379E,Nome não encontrado
Carboidrato disponível,g,"5,28","2,38",BRC0379E,Nome não encontrado
Proteína,g,"12,1","5,45",BRC0379E,Nome não encontrado
Lipídios,g,"6,63","2,98",BRC0379E,Nome não encontrado
Fibra alimentar,g,"0,49","0,22",BRC0379E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0379E,Nome não encontrado
Cinzas,g,"1,93","0,87",BRC0379E,Nome não encontrado
Colesterol,mg,127,"57,2",BRC0379E,Nome não encontrado
Ácidos graxos saturados,g,"2,74","1,23",BRC0379E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,57","0,71",BRC0379E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,57","0,71",BRC0379E,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04",BRC0379E,Nome não encontrado
Cálcio,mg,143,"64,5",BRC0379E,Nome não encontrado
Ferro,mg,"1,50","0,68",BRC0379E,Nome não encontrado
Sódio,mg,489,220,BRC0379E,Nome não encontrado
Magnésio,mg,"17,9","8,06",BRC0379E,Nome não encontrado
Fósforo,mg,212,"95,5",BRC0379E,Nome não encontrado
Potássio,mg,156,"70,6",BRC0379E,Nome não encontrado
Manganês,mg,"0,11","0,05",BRC0379E,Nome não encontrado
Zinco,mg,"1,01","0,46",BRC0379E,Nome não encontrado
Cobre,mg,"0,23","0,10",BRC0379E,Nome não encontrado
Selênio,mcg,"3,20","1,44",BRC0379E,Nome não encontrado
Vitamina A (RE),mcg,"34,5","15,5",BRC0379E,Nome não encontrado
Vitamina A (RAE),mcg,"33,8","15,2",BRC0379E,Nome não encontrado
Vitamina D,mcg,"0,07","0,03",BRC0379E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,30","0,58",BRC0379E,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0379E,Nome não encontrado
Riboflavina,mg,"0,11","0,05",BRC0379E,Nome não encontrado
Niacina,mg,"0,63","0,28",BRC0379E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0379E,Nome não encontrado
Vitamina B12,mcg,"1,00","0,45",BRC0379E,Nome não encontrado
Vitamina C,mg,"3,38","1,52",BRC0379E,Nome não encontrado
Equivalente de folato,mcg,"18,9","8,53",BRC0379E,Nome não encontrado
Sal de adição,g,"0,45","0,20",BRC0379E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0379E,Nome não encontrado
Gordura de adição,g,-,-,BRC0379E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0379E,Nome não encontrado
Proteína animal,g,-,-,BRC0379E,Nome não encontrado
