componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher sopa cheia (37 g),Colher sopa rasa (22 g),codigo_alimento,nome_alimento
Energia,kJ,406,243,150,89,BRC0297B,Nome não encontrado
Energia,kcal,96,57,35,21,BRC0297B,Nome não encontrado
Umidade,g,"77,0","46,2","28,5","16,9",BRC0297B,Nome não encontrado
Carboidrato total,g,"18,4","11,0","6,81","4,05",BRC0297B,Nome não encontrado
Carboidrato disponível,g,"16,7","10,0","6,18","3,67",BRC0297B,Nome não encontrado
Proteína,g,"0,83","0,50","0,31","0,18",BRC0297B,Nome não encontrado
Lipídios,g,"2,54","1,52","0,94","0,56",BRC0297B,Nome não encontrado
Fibra alimentar,g,"1,71","1,02","0,63","0,38",BRC0297B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Cinzas,g,"1,22","0,73","0,45","0,27",BRC0297B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,24","0,15","0,09",BRC0297B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,60","0,36","0,22","0,13",BRC0297B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","0,87","0,54","0,32",BRC0297B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Cálcio,mg,"11,6","6,98","4,30","2,56",BRC0297B,Nome não encontrado
Ferro,mg,"0,42","0,25","0,15","0,09",BRC0297B,Nome não encontrado
Sódio,mg,189,113,"70,2","41,7",BRC0297B,Nome não encontrado
Magnésio,mg,"7,37","4,42","2,73","1,62",BRC0297B,Nome não encontrado
Fósforo,mg,"28,6","17,2","10,6","6,30",BRC0297B,Nome não encontrado
Potássio,mg,251,150,"92,9","55,2",BRC0297B,Nome não encontrado
Manganês,mg,"0,21","0,13","0,08","0,05",BRC0297B,Nome não encontrado
Zinco,mg,"0,37","0,22","0,14","0,08",BRC0297B,Nome não encontrado
Cobre,mg,"0,15","0,09","0,06","0,03",BRC0297B,Nome não encontrado
Selênio,mcg,"0,32","0,19","0,12","0,07",BRC0297B,Nome não encontrado
Vitamina A (RE),mcg,"10,4","6,23","3,84","2,28",BRC0297B,Nome não encontrado
Vitamina A (RAE),mcg,"5,19","3,12","1,92","1,14",BRC0297B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,24","0,15","0,09",BRC0297B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,01",BRC0297B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0297B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0297B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0297B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Vitamina C,mg,"16,6","9,97","6,15","3,65",BRC0297B,Nome não encontrado
Equivalente de folato,mcg,"6,75","4,05","2,50","1,48",BRC0297B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,12","0,07",BRC0297B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0297B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0297B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0297B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0297B,Nome não encontrado
