componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,2293,573,BRC0057L,Nome não encontrado
Energia,kcal,556,139,BRC0057L,Nome não encontrado
Umidade,g,"26,3","6,58",BRC0057L,Nome não encontrado
Carboidrato total,g,"5,45","1,36",BRC0057L,Nome não encontrado
Carboidrato disponível,g,"3,09","0,77",BRC0057L,Nome não encontrado
Proteína,g,"10,7","2,67",BRC0057L,Nome não encontrado
Lipídios,g,"55,1","13,8",BRC0057L,Nome não encontrado
Fibra alimentar,g,"2,36","0,59",BRC0057L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0057L,Nome não encontrado
Cinzas,g,"2,42","0,61",BRC0057L,Nome não encontrado
Colesterol,mg,"28,3","7,09",BRC0057L,Nome não encontrado
Ácidos graxos saturados,g,"11,8","2,94",BRC0057L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"32,5","8,12",BRC0057L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"9,47","2,37",BRC0057L,Nome não encontrado
Ácidos graxos trans,g,"0,31","0,08",BRC0057L,Nome não encontrado
Cálcio,mg,311,"78,0",BRC0057L,Nome não encontrado
Ferro,mg,"1,00","0,25",BRC0057L,Nome não encontrado
Sódio,mg,556,139,BRC0057L,Nome não encontrado
Magnésio,mg,"39,4","9,84",BRC0057L,Nome não encontrado
Fósforo,mg,258,"64,6",BRC0057L,Nome não encontrado
Potássio,mg,168,"42,1",BRC0057L,Nome não encontrado
Manganês,mg,"0,62","0,15",BRC0057L,Nome não encontrado
Zinco,mg,"1,51","0,38",BRC0057L,Nome não encontrado
Cobre,mg,"0,18","0,05",BRC0057L,Nome não encontrado
Selênio,mcg,"7,36","1,84",BRC0057L,Nome não encontrado
Vitamina A (RE),mcg,189,"47,3",BRC0057L,Nome não encontrado
Vitamina A (RAE),mcg,103,"25,9",BRC0057L,Nome não encontrado
Vitamina D,mcg,"0,17","0,04",BRC0057L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,29","1,82",BRC0057L,Nome não encontrado
Tiamina,mg,"0,07","0,02",BRC0057L,Nome não encontrado
Riboflavina,mg,"0,14","0,04",BRC0057L,Nome não encontrado
Niacina,mg,"0,29","0,07",BRC0057L,Nome não encontrado
Vitamina B6,mg,"0,11","0,03",BRC0057L,Nome não encontrado
Vitamina B12,mcg,"0,33","0,08",BRC0057L,Nome não encontrado
Vitamina C,mg,"1,96","0,49",BRC0057L,Nome não encontrado
Equivalente de folato,mcg,"16,7","4,18",BRC0057L,Nome não encontrado
Sal de adição,g,"0,32","0,08",BRC0057L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0057L,Nome não encontrado
Gordura de adição,g,-,-,BRC0057L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0057L,Nome não encontrado
Proteína animal,g,-,-,BRC0057L,Nome não encontrado
