componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,1149,344,BRC0039N,Nome não encontrado
Energia,kcal,276,82,BRC0039N,Nome não encontrado
Umidade,g,"49,1","14,7",BRC0039N,Nome não encontrado
Carboidrato total,g,"7,38","2,21",BRC0039N,Nome não encontrado
Carboidrato disponível,g,"7,38","2,21",BRC0039N,Nome não encontrado
Proteína,g,"21,2","6,36",BRC0039N,Nome não encontrado
Lipídios,g,"17,9","5,37",BRC0039N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0039N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0039N,Nome não encontrado
Cinzas,g,"4,41","1,32",BRC0039N,Nome não encontrado
Colesterol,mg,"31,0","9,30",BRC0039N,Nome não encontrado
Ácidos graxos saturados,g,"3,50","1,05",BRC0039N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,07","1,22",BRC0039N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25","0,07",BRC0039N,Nome não encontrado
Ácidos graxos trans,g,"0,72","0,22",BRC0039N,Nome não encontrado
Cálcio,mg,810,243,BRC0039N,Nome não encontrado
Ferro,mg,"0,56","0,17",BRC0039N,Nome não encontrado
Sódio,mg,600,180,BRC0039N,Nome não encontrado
Magnésio,mg,"26,1","7,82",BRC0039N,Nome não encontrado
Fósforo,mg,387,116,BRC0039N,Nome não encontrado
Potássio,mg,115,"34,7",BRC0039N,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0039N,Nome não encontrado
Zinco,mg,"2,58","0,77",BRC0039N,Nome não encontrado
Cobre,mg,"0,07","0,02",BRC0039N,Nome não encontrado
Selênio,mcg,,,BRC0039N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0039N,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0039N,Nome não encontrado
Vitamina D,mcg,"0,52","0,15",BRC0039N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,10",BRC0039N,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0039N,Nome não encontrado
Riboflavina,mg,"0,31","0,09",BRC0039N,Nome não encontrado
Niacina,mg,traços,traços,BRC0039N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0039N,Nome não encontrado
Vitamina B12,mcg,"1,74","0,52",BRC0039N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0039N,Nome não encontrado
Equivalente de folato,mcg,"6,95","2,08",BRC0039N,Nome não encontrado
Sal de adição,g,,,BRC0039N,Nome não encontrado
Açúcar de adição,g,,,BRC0039N,Nome não encontrado
Gordura de adição,g,,,BRC0039N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0039N,Nome não encontrado
Proteína animal,g,"21,2","6,36",BRC0039N,Nome não encontrado
