componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,387,212,BRC0471N,Nome não encontrado
Energia,kcal,92,50,BRC0471N,Nome não encontrado
Umidade,g,"77,7","42,7",BRC0471N,Nome não encontrado
Carboidrato total,g,"7,90","4,34",BRC0471N,Nome não encontrado
Carboidrato disponível,g,"6,95","3,82",BRC0471N,Nome não encontrado
Proteína,g,"12,3","6,78",BRC0471N,Nome não encontrado
Lipídios,g,"1,40","0,77",BRC0471N,Nome não encontrado
Fibra alimentar,g,"0,95","0,52",BRC0471N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0471N,Nome não encontrado
Cinzas,g,"0,69","0,38",BRC0471N,Nome não encontrado
Colesterol,mg,"31,7","17,4",BRC0471N,Nome não encontrado
Ácidos graxos saturados,g,"0,44","0,24",BRC0471N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,47","0,26",BRC0471N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,19",BRC0471N,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0471N,Nome não encontrado
Cálcio,mg,"26,8","14,7",BRC0471N,Nome não encontrado
Ferro,mg,"0,64","0,35",BRC0471N,Nome não encontrado
Sódio,mg,142,"78,4",BRC0471N,Nome não encontrado
Magnésio,mg,"10,7","5,90",BRC0471N,Nome não encontrado
Fósforo,mg,"89,1","49,0",BRC0471N,Nome não encontrado
Potássio,mg,175,"96,6",BRC0471N,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0471N,Nome não encontrado
Zinco,mg,"0,38","0,21",BRC0471N,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0471N,Nome não encontrado
Selênio,mcg,"4,42","2,43",BRC0471N,Nome não encontrado
Vitamina A (RE),mcg,"47,0","25,8",BRC0471N,Nome não encontrado
Vitamina A (RAE),mcg,"23,5","12,9",BRC0471N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0471N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,14",BRC0471N,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0471N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0471N,Nome não encontrado
Niacina,mg,"2,80","1,54",BRC0471N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0471N,Nome não encontrado
Vitamina B12,mcg,"0,05","0,03",BRC0471N,Nome não encontrado
Vitamina C,mg,"3,75","2,06",BRC0471N,Nome não encontrado
Equivalente de folato,mcg,"22,8","12,6",BRC0471N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0471N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0471N,Nome não encontrado
Gordura de adição,g,-,-,BRC0471N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0471N,Nome não encontrado
Proteína animal,g,-,-,BRC0471N,Nome não encontrado
