componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,140,42,14,BRC0245B,Nome não encontrado
Energia,kcal,34,10,3,BRC0245B,Nome não encontrado
Umidade,g,"87,4","26,2","8,74",BRC0245B,Nome não encontrado
Carboidrato total,g,"6,09","1,83","0,61",BRC0245B,Nome não encontrado
Carboidrato disponível,g,"1,54","0,46","0,15",BRC0245B,Nome não encontrado
Proteína,g,"3,26","0,98","0,33",BRC0245B,Nome não encontrado
Lipídios,g,"0,60","0,18","0,06",BRC0245B,Nome não encontrado
Fibra alimentar,g,"4,56","1,37","0,46",BRC0245B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Cinzas,g,"2,68","0,80","0,27",BRC0245B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03","0,01",BRC0245B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0245B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,09","0,03",BRC0245B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Cálcio,mg,441,132,"44,1",BRC0245B,Nome não encontrado
Ferro,mg,"3,41","1,02","0,34",BRC0245B,Nome não encontrado
Sódio,mg,"10,5","3,14","1,05",BRC0245B,Nome não encontrado
Magnésio,mg,120,"36,2","12,1",BRC0245B,Nome não encontrado
Fósforo,mg,"70,9","21,3","7,09",BRC0245B,Nome não encontrado
Potássio,mg,142,"42,7","14,2",BRC0245B,Nome não encontrado
Manganês,mg,"0,82","0,25","0,08",BRC0245B,Nome não encontrado
Zinco,mg,"4,62","1,38","0,46",BRC0245B,Nome não encontrado
Cobre,mg,"0,36","0,11","0,04",BRC0245B,Nome não encontrado
Selênio,mcg,"1,23","0,37","0,12",BRC0245B,Nome não encontrado
Vitamina A (RE),mcg,1780,534,178,BRC0245B,Nome não encontrado
Vitamina A (RAE),mcg,890,267,"89,0",BRC0245B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,-,-,-,BRC0245B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0245B,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01",BRC0245B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0245B,Nome não encontrado
Vitamina B6,mg,"0,07","0,02","0,01",BRC0245B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Vitamina C,mg,"2,19","0,66","0,22",BRC0245B,Nome não encontrado
Equivalente de folato,mcg,"64,6","19,4","6,46",BRC0245B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
Proteína vegetal,g,"3,26","0,98","0,33",BRC0245B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0245B,Nome não encontrado
