componente,unidade,Valor por 100g,Porção Média (70 g),codigo_alimento,nome_alimento
Energia,kJ,57,39,BRC0626B,Nome não encontrado
Energia,kcal,14,9,BRC0626B,Nome não encontrado
Umidade,g,"95,1","66,6",BRC0626B,Nome não encontrado
Carboidrato total,g,"3,00","2,10",BRC0626B,Nome não encontrado
Carboidrato disponível,g,"1,20","0,84",BRC0626B,Nome não encontrado
Proteína,g,"1,13","0,79",BRC0626B,Nome não encontrado
Lipídios,g,"0,08","0,05",BRC0626B,Nome não encontrado
Fibra alimentar,g,"1,81","1,26",BRC0626B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0626B,Nome não encontrado
Cinzas,g,"0,71","0,50",BRC0626B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0626B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,02",BRC0626B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01",BRC0626B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,03",BRC0626B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0626B,Nome não encontrado
Cálcio,mg,"20,6","14,4",BRC0626B,Nome não encontrado
Ferro,mg,"0,35","0,24",BRC0626B,Nome não encontrado
Sódio,mg,"10,9","7,66",BRC0626B,Nome não encontrado
Magnésio,mg,"8,91","6,23",BRC0626B,Nome não encontrado
Fósforo,mg,"24,9","17,4",BRC0626B,Nome não encontrado
Potássio,mg,326,228,BRC0626B,Nome não encontrado
Manganês,mg,"0,07","0,05",BRC0626B,Nome não encontrado
Zinco,mg,"0,18","0,13",BRC0626B,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0626B,Nome não encontrado
Selênio,mcg,"0,10","0,07",BRC0626B,Nome não encontrado
Vitamina A (RE),mcg,"0,51","0,36",BRC0626B,Nome não encontrado
Vitamina A (RAE),mcg,"0,26","0,18",BRC0626B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0626B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0626B,Nome não encontrado
Tiamina,mg,"0,06","0,04",BRC0626B,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0626B,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0626B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC0626B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0626B,Nome não encontrado
Vitamina C,mg,"9,59","6,71",BRC0626B,Nome não encontrado
Equivalente de folato,mcg,"26,0","18,2",BRC0626B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0626B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0626B,Nome não encontrado
Gordura de adição,g,-,-,BRC0626B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0626B,Nome não encontrado
Proteína animal,g,-,-,BRC0626B,Nome não encontrado
