componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,608,243,BRC1029A,Nome não encontrado
Energia,kcal,144,57,BRC1029A,Nome não encontrado
Umidade,g,"66,3","26,5",BRC1029A,Nome não encontrado
Carboidrato total,g,"20,3","8,11",BRC1029A,Nome não encontrado
Carboidrato disponível,g,"19,3","7,71",BRC1029A,Nome não encontrado
Proteína,g,"9,45","3,78",BRC1029A,Nome não encontrado
Lipídios,g,"3,02","1,21",BRC1029A,Nome não encontrado
Fibra alimentar,g,"0,99","0,40",BRC1029A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1029A,Nome não encontrado
Cinzas,g,"0,97","0,39",BRC1029A,Nome não encontrado
Colesterol,mg,"14,0","5,62",BRC1029A,Nome não encontrado
Ácidos graxos saturados,g,"0,99","0,40",BRC1029A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","0,40",BRC1029A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,29",BRC1029A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02",BRC1029A,Nome não encontrado
Cálcio,mg,"8,08","3,23",BRC1029A,Nome não encontrado
Ferro,mg,"0,89","0,36",BRC1029A,Nome não encontrado
Sódio,mg,216,"86,7",BRC1029A,Nome não encontrado
Magnésio,mg,"20,5","8,21",BRC1029A,Nome não encontrado
Fósforo,mg,"62,0","24,8",BRC1029A,Nome não encontrado
Potássio,mg,103,"41,3",BRC1029A,Nome não encontrado
Manganês,mg,"0,71","0,29",BRC1029A,Nome não encontrado
Zinco,mg,"1,98","0,79",BRC1029A,Nome não encontrado
Cobre,mg,"0,13","0,05",BRC1029A,Nome não encontrado
Selênio,mcg,"1,13","0,45",BRC1029A,Nome não encontrado
Vitamina A (RE),mcg,"3,55","1,42",BRC1029A,Nome não encontrado
Vitamina A (RAE),mcg,"3,27","1,31",BRC1029A,Nome não encontrado
Vitamina D,mcg,"0,07","0,03",BRC1029A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,18",BRC1029A,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC1029A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1029A,Nome não encontrado
Niacina,mg,"0,53","0,21",BRC1029A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC1029A,Nome não encontrado
Vitamina B12,mcg,"0,34","0,14",BRC1029A,Nome não encontrado
Vitamina C,mg,"1,75","0,70",BRC1029A,Nome não encontrado
Equivalente de folato,mcg,"5,56","2,22",BRC1029A,Nome não encontrado
Sal de adição,g,"0,47","0,19",BRC1029A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1029A,Nome não encontrado
Gordura de adição,g,-,-,BRC1029A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1029A,Nome não encontrado
Proteína animal,g,-,-,BRC1029A,Nome não encontrado
