componente,unidade,Valor por 100g,Colher servir cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,123,61,BRC0919B,Nome não encontrado
Energia,kcal,29,14,BRC0919B,Nome não encontrado
Umidade,g,"89,7","44,8",BRC0919B,Nome não encontrado
Carboidrato total,g,"4,56","2,28",BRC0919B,Nome não encontrado
Carboidrato disponível,g,"4,56","2,28",BRC0919B,Nome não encontrado
Proteína,g,"2,00","1,00",BRC0919B,Nome não encontrado
Lipídios,g,"0,31","0,16",BRC0919B,Nome não encontrado
Fibra alimentar,g,"2,51","1,25",BRC0919B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0919B,Nome não encontrado
Cinzas,g,"0,93","0,47",BRC0919B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0919B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,03",BRC0919B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0919B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,08",BRC0919B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0919B,Nome não encontrado
Cálcio,mg,"32,9","16,4",BRC0919B,Nome não encontrado
Ferro,mg,"0,44","0,22",BRC0919B,Nome não encontrado
Sódio,mg,130,"65,2",BRC0919B,Nome não encontrado
Magnésio,mg,"18,5","9,26",BRC0919B,Nome não encontrado
Fósforo,mg,"44,6","22,3",BRC0919B,Nome não encontrado
Potássio,mg,243,121,BRC0919B,Nome não encontrado
Manganês,mg,"0,24","0,12",BRC0919B,Nome não encontrado
Zinco,mg,"0,30","0,15",BRC0919B,Nome não encontrado
Cobre,mg,"0,17","0,09",BRC0919B,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0919B,Nome não encontrado
Vitamina A (RE),mcg,508,254,BRC0919B,Nome não encontrado
Vitamina A (RAE),mcg,254,127,BRC0919B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0919B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,18",BRC0919B,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0919B,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0919B,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0919B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0919B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0919B,Nome não encontrado
Vitamina C,mg,"29,3","14,6",BRC0919B,Nome não encontrado
Equivalente de folato,mcg,"23,4","11,7",BRC0919B,Nome não encontrado
Sal de adição,g,"0,32","0,16",BRC0919B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0919B,Nome não encontrado
Gordura de adição,g,-,-,BRC0919B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0919B,Nome não encontrado
Proteína animal,g,-,-,BRC0919B,Nome não encontrado
