componente,unidade,Valor por 100g,Porção Média (70 g),codigo_alimento,nome_alimento
Energia,kJ,206,144,BRC0554B,Nome não encontrado
Energia,kcal,50,34,BRC0554B,Nome não encontrado
Umidade,g,"90,3","63,2",BRC0554B,Nome não encontrado
Carboidrato total,g,"4,44","3,11",BRC0554B,Nome não encontrado
Carboidrato disponível,g,"2,62","1,83",BRC0554B,Nome não encontrado
Proteína,g,"1,14","0,80",BRC0554B,Nome não encontrado
Lipídios,g,"3,46","2,42",BRC0554B,Nome não encontrado
Fibra alimentar,g,"1,83","1,28",BRC0554B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0554B,Nome não encontrado
Cinzas,g,"0,65","0,45",BRC0554B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0554B,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,38",BRC0554B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,44","1,71",BRC0554B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,28",BRC0554B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0554B,Nome não encontrado
Cálcio,mg,"43,4","30,4",BRC0554B,Nome não encontrado
Ferro,mg,"0,30","0,21",BRC0554B,Nome não encontrado
Sódio,mg,"56,3","39,4",BRC0554B,Nome não encontrado
Magnésio,mg,"11,1","7,74",BRC0554B,Nome não encontrado
Fósforo,mg,"17,4","12,2",BRC0554B,Nome não encontrado
Potássio,mg,220,154,BRC0554B,Nome não encontrado
Manganês,mg,"0,24","0,17",BRC0554B,Nome não encontrado
Zinco,mg,"0,25","0,17",BRC0554B,Nome não encontrado
Cobre,mg,"0,06","0,04",BRC0554B,Nome não encontrado
Selênio,mcg,"0,03","0,02",BRC0554B,Nome não encontrado
Vitamina A (RE),mcg,131,"92,2",BRC0554B,Nome não encontrado
Vitamina A (RAE),mcg,"65,8","46,1",BRC0554B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0554B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,82","0,57",BRC0554B,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0554B,Nome não encontrado
Riboflavina,mg,"0,04","0,03",BRC0554B,Nome não encontrado
Niacina,mg,"0,03","0,02",BRC0554B,Nome não encontrado
Vitamina B6,mg,"0,08","0,06",BRC0554B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0554B,Nome não encontrado
Vitamina C,mg,"22,0","15,4",BRC0554B,Nome não encontrado
Equivalente de folato,mcg,"36,8","25,8",BRC0554B,Nome não encontrado
Sal de adição,g,"0,32","0,22",BRC0554B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0554B,Nome não encontrado
Gordura de adição,g,-,-,BRC0554B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0554B,Nome não encontrado
Proteína animal,g,-,-,BRC0554B,Nome não encontrado
