componente,unidade,Valor por 100g,Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,211,84,BRC0140N,Nome não encontrado
Energia,kcal,50,19,BRC0140N,Nome não encontrado
Umidade,g,"87,3","34,9",BRC0140N,Nome não encontrado
Carboidrato total,g,"8,49","3,40",BRC0140N,Nome não encontrado
Carboidrato disponível,g,"8,41","3,36",BRC0140N,Nome não encontrado
Proteína,g,"3,07","1,23",BRC0140N,Nome não encontrado
Lipídios,g,"0,42","0,17",BRC0140N,Nome não encontrado
Fibra alimentar,g,"0,08","0,03",BRC0140N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0140N,Nome não encontrado
Cinzas,g,"0,76","0,30",BRC0140N,Nome não encontrado
Colesterol,mg,"9,60","3,84",BRC0140N,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,10",BRC0140N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,11","0,04",BRC0140N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01",BRC0140N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0140N,Nome não encontrado
Cálcio,mg,116,"46,5",BRC0140N,Nome não encontrado
Ferro,mg,"0,07","0,03",BRC0140N,Nome não encontrado
Sódio,mg,122,"48,8",BRC0140N,Nome não encontrado
Magnésio,mg,"10,6","4,24",BRC0140N,Nome não encontrado
Fósforo,mg,"82,5","33,0",BRC0140N,Nome não encontrado
Potássio,mg,135,"54,1",BRC0140N,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0140N,Nome não encontrado
Zinco,mg,"0,39","0,16",BRC0140N,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0140N,Nome não encontrado
Selênio,mcg,"3,77","1,51",BRC0140N,Nome não encontrado
Vitamina A (RE),mcg,"10,4","4,15",BRC0140N,Nome não encontrado
Vitamina A (RAE),mcg,"7,60","3,04",BRC0140N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0140N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,02",BRC0140N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0140N,Nome não encontrado
Riboflavina,mg,"0,25","0,10",BRC0140N,Nome não encontrado
Niacina,mg,"1,43","0,57",BRC0140N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0140N,Nome não encontrado
Vitamina B12,mcg,"0,05","0,02",BRC0140N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0140N,Nome não encontrado
Equivalente de folato,mcg,"4,93","1,97",BRC0140N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0140N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0140N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0140N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0140N,Nome não encontrado
Proteína animal,g,"3,07","1,23",BRC0140N,Nome não encontrado
