componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,497,198,BRC1027A,Nome não encontrado
Energia,kcal,118,47,BRC1027A,Nome não encontrado
Umidade,g,"70,8","28,3",BRC1027A,Nome não encontrado
Carboidrato total,g,"24,2","9,70",BRC1027A,Nome não encontrado
Carboidrato disponível,g,"22,3","8,92",BRC1027A,Nome não encontrado
Proteína,g,"2,19","0,88",BRC1027A,Nome não encontrado
Lipídios,g,"1,75","0,70",BRC1027A,Nome não encontrado
Fibra alimentar,g,"1,93","0,77",BRC1027A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1027A,Nome não encontrado
Cinzas,g,"1,01","0,40",BRC1027A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1027A,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,13",BRC1027A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,15",BRC1027A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,90","0,36",BRC1027A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC1027A,Nome não encontrado
Cálcio,mg,"11,4","4,55",BRC1027A,Nome não encontrado
Ferro,mg,"0,40","0,16",BRC1027A,Nome não encontrado
Sódio,mg,192,"77,0",BRC1027A,Nome não encontrado
Magnésio,mg,"21,4","8,56",BRC1027A,Nome não encontrado
Fósforo,mg,"26,5","10,6",BRC1027A,Nome não encontrado
Potássio,mg,116,"46,7",BRC1027A,Nome não encontrado
Manganês,mg,"0,76","0,30",BRC1027A,Nome não encontrado
Zinco,mg,"0,48","0,19",BRC1027A,Nome não encontrado
Cobre,mg,"0,14","0,05",BRC1027A,Nome não encontrado
Selênio,mcg,"1,41","0,56",BRC1027A,Nome não encontrado
Vitamina A (RE),mcg,209,"83,7",BRC1027A,Nome não encontrado
Vitamina A (RAE),mcg,104,"41,9",BRC1027A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1027A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,38","0,15",BRC1027A,Nome não encontrado
Tiamina,mg,traços,traços,BRC1027A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1027A,Nome não encontrado
Niacina,mg,traços,traços,BRC1027A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC1027A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1027A,Nome não encontrado
Vitamina C,mg,"1,88","0,75",BRC1027A,Nome não encontrado
Equivalente de folato,mcg,"5,76","2,30",BRC1027A,Nome não encontrado
Sal de adição,g,"0,47","0,19",BRC1027A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1027A,Nome não encontrado
Gordura de adição,g,-,-,BRC1027A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1027A,Nome não encontrado
Proteína animal,g,-,-,BRC1027A,Nome não encontrado
