componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,308,61,400,BRC1059A,Nome não encontrado
Energia,kcal,73,14,94,BRC1059A,Nome não encontrado
Umidade,g,"82,9","16,6",107,BRC1059A,Nome não encontrado
Carboidrato total,g,"10,3","2,06","13,4",BRC1059A,Nome não encontrado
Carboidrato disponível,g,"9,28","1,86","12,1",BRC1059A,Nome não encontrado
Proteína,g,"4,77","0,95","6,20",BRC1059A,Nome não encontrado
Lipídios,g,"1,65","0,33","2,14",BRC1059A,Nome não encontrado
Fibra alimentar,g,"1,02","0,20","1,33",BRC1059A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1059A,Nome não encontrado
Cinzas,g,"0,38","0,08","0,50",BRC1059A,Nome não encontrado
Colesterol,mg,"6,65","1,33","8,65",BRC1059A,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,09","0,61",BRC1059A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,65",BRC1059A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,11","0,70",BRC1059A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,04",BRC1059A,Nome não encontrado
Cálcio,mg,"11,0","2,21","14,4",BRC1059A,Nome não encontrado
Ferro,mg,"0,51","0,10","0,66",BRC1059A,Nome não encontrado
Sódio,mg,"18,3","3,66","23,8",BRC1059A,Nome não encontrado
Magnésio,mg,"7,23","1,45","9,40",BRC1059A,Nome não encontrado
Fósforo,mg,"40,9","8,17","53,1",BRC1059A,Nome não encontrado
Potássio,mg,129,"25,8",167,BRC1059A,Nome não encontrado
Manganês,mg,"1,44","0,29","1,87",BRC1059A,Nome não encontrado
Zinco,mg,"0,87","0,17","1,13",BRC1059A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC1059A,Nome não encontrado
Selênio,mcg,"0,57","0,11","0,74",BRC1059A,Nome não encontrado
Vitamina A (RE),mcg,"37,5","7,50","48,7",BRC1059A,Nome não encontrado
Vitamina A (RAE),mcg,"19,0","3,79","24,7",BRC1059A,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,04",BRC1059A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,10","0,67",BRC1059A,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,03",BRC1059A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01",BRC1059A,Nome não encontrado
Niacina,mg,"0,65","0,13","0,84",BRC1059A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC1059A,Nome não encontrado
Vitamina B12,mcg,"0,14","0,03","0,18",BRC1059A,Nome não encontrado
Vitamina C,mg,"2,95","0,59","3,83",BRC1059A,Nome não encontrado
Equivalente de folato,mcg,"25,4","5,08","33,0",BRC1059A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1059A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1059A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1059A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1059A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1059A,Nome não encontrado
