componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,909,908,BRC0051J,Nome não encontrado
Energia,kcal,218,218,BRC0051J,Nome não encontrado
Umidade,g,"60,6","60,6",BRC0051J,Nome não encontrado
Carboidrato total,g,"13,5","13,5",BRC0051J,Nome não encontrado
Carboidrato disponível,g,"12,1","12,1",BRC0051J,Nome não encontrado
Proteína,g,"10,4","10,4",BRC0051J,Nome não encontrado
Lipídios,g,"13,9","13,9",BRC0051J,Nome não encontrado
Fibra alimentar,g,"1,42","1,42",BRC0051J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0051J,Nome não encontrado
Cinzas,g,"1,57","1,57",BRC0051J,Nome não encontrado
Colesterol,mg,242,242,BRC0051J,Nome não encontrado
Ácidos graxos saturados,g,"6,23","6,23",BRC0051J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,34","4,34",BRC0051J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,06","1,06",BRC0051J,Nome não encontrado
Ácidos graxos trans,g,"0,30","0,30",BRC0051J,Nome não encontrado
Cálcio,mg,"63,3","63,3",BRC0051J,Nome não encontrado
Ferro,mg,"1,63","1,63",BRC0051J,Nome não encontrado
Sódio,mg,364,364,BRC0051J,Nome não encontrado
Magnésio,mg,"23,5","23,5",BRC0051J,Nome não encontrado
Fósforo,mg,185,185,BRC0051J,Nome não encontrado
Potássio,mg,159,159,BRC0051J,Nome não encontrado
Manganês,mg,"0,50","0,50",BRC0051J,Nome não encontrado
Zinco,mg,"1,30","1,30",BRC0051J,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0051J,Nome não encontrado
Selênio,mcg,"10,8","10,8",BRC0051J,Nome não encontrado
Vitamina A (RE),mcg,170,170,BRC0051J,Nome não encontrado
Vitamina A (RAE),mcg,163,163,BRC0051J,Nome não encontrado
Vitamina D,mcg,"1,15","1,15",BRC0051J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,53","1,53",BRC0051J,Nome não encontrado
Tiamina,mg,"0,15","0,15",BRC0051J,Nome não encontrado
Riboflavina,mg,"0,15","0,15",BRC0051J,Nome não encontrado
Niacina,mg,"0,60","0,60",BRC0051J,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0051J,Nome não encontrado
Vitamina B12,mcg,"0,57","0,57",BRC0051J,Nome não encontrado
Vitamina C,mg,"1,57","1,57",BRC0051J,Nome não encontrado
Equivalente de folato,mcg,"49,1","49,1",BRC0051J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0051J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0051J,Nome não encontrado
Gordura de adição,g,-,-,BRC0051J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0051J,Nome não encontrado
Proteína animal,g,-,-,BRC0051J,Nome não encontrado
