componente,unidade,Valor por 100g,Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,652,326,BRC0052J,Nome não encontrado
Energia,kcal,157,78,BRC0052J,Nome não encontrado
Umidade,g,"73,6","36,8",BRC0052J,Nome não encontrado
Carboidrato total,g,"1,16","0,58",BRC0052J,Nome não encontrado
Carboidrato disponível,g,"1,16","0,58",BRC0052J,Nome não encontrado
Proteína,g,"13,1","6,54",BRC0052J,Nome não encontrado
Lipídios,g,"11,1","5,54",BRC0052J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0052J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0052J,Nome não encontrado
Cinzas,g,"1,07","0,53",BRC0052J,Nome não encontrado
Colesterol,mg,496,248,BRC0052J,Nome não encontrado
Ácidos graxos saturados,g,"7,78","3,89",BRC0052J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"10,6","5,29",BRC0052J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,36","1,18",BRC0052J,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,05",BRC0052J,Nome não encontrado
Cálcio,mg,"57,3","28,7",BRC0052J,Nome não encontrado
Ferro,mg,"3,35","1,67",BRC0052J,Nome não encontrado
Sódio,mg,128,"64,5",BRC0052J,Nome não encontrado
Magnésio,mg,"10,5","5,24",BRC0052J,Nome não encontrado
Fósforo,mg,279,139,BRC0052J,Nome não encontrado
Potássio,mg,"78,7","39,4",BRC0052J,Nome não encontrado
Manganês,mg,traços,traços,BRC0052J,Nome não encontrado
Zinco,mg,"1,72","0,86",BRC0052J,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0052J,Nome não encontrado
Selênio,mcg,"0,10","0,05",BRC0052J,Nome não encontrado
Vitamina A (RE),mcg,269,134,BRC0052J,Nome não encontrado
Vitamina A (RAE),mcg,268,134,BRC0052J,Nome não encontrado
Vitamina D,mcg,"1,40","0,70",BRC0052J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,08","0,54",BRC0052J,Nome não encontrado
Tiamina,mg,"0,09","0,04",BRC0052J,Nome não encontrado
Riboflavina,mg,"0,10","0,05",BRC0052J,Nome não encontrado
Niacina,mg,"0,77","0,39",BRC0052J,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0052J,Nome não encontrado
Vitamina B12,mcg,"1,30","0,65",BRC0052J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0052J,Nome não encontrado
Equivalente de folato,mcg,"54,3","27,2",BRC0052J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0052J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0052J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0052J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0052J,Nome não encontrado
Proteína animal,g,"13,1","6,54",BRC0052J,Nome não encontrado
