componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,788,236,BRC0149K,Nome não encontrado
Energia,kcal,188,56,BRC0149K,Nome não encontrado
Umidade,g,"63,4","19,0",BRC0149K,Nome não encontrado
Carboidrato total,g,"23,4","7,01",BRC0149K,Nome não encontrado
Carboidrato disponível,g,"23,3","6,98",BRC0149K,Nome não encontrado
Proteína,g,"3,58","1,07",BRC0149K,Nome não encontrado
Lipídios,g,"8,95","2,69",BRC0149K,Nome não encontrado
Fibra alimentar,g,"0,09","0,03",BRC0149K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0149K,Nome não encontrado
Cinzas,g,"0,73","0,22",BRC0149K,Nome não encontrado
Colesterol,mg,"20,6","6,19",BRC0149K,Nome não encontrado
Ácidos graxos saturados,g,"4,90","1,47",BRC0149K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,08","0,62",BRC0149K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,06",BRC0149K,Nome não encontrado
Ácidos graxos trans,g,"0,26","0,08",BRC0149K,Nome não encontrado
Cálcio,mg,101,"30,5",BRC0149K,Nome não encontrado
Ferro,mg,"0,19","0,06",BRC0149K,Nome não encontrado
Sódio,mg,"48,7","14,6",BRC0149K,Nome não encontrado
Magnésio,mg,"11,6","3,47",BRC0149K,Nome não encontrado
Fósforo,mg,"95,4","28,6",BRC0149K,Nome não encontrado
Potássio,mg,152,"45,9",BRC0149K,Nome não encontrado
Manganês,mg,"0,08","0,02",BRC0149K,Nome não encontrado
Zinco,mg,"0,36","0,11",BRC0149K,Nome não encontrado
Cobre,mg,"0,08","0,02",BRC0149K,Nome não encontrado
Selênio,mcg,"5,49","1,65",BRC0149K,Nome não encontrado
Vitamina A (RE),mcg,"58,3","17,5",BRC0149K,Nome não encontrado
Vitamina A (RAE),mcg,"56,7","17,0",BRC0149K,Nome não encontrado
Vitamina D,mcg,"0,36","0,11",BRC0149K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,06",BRC0149K,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0149K,Nome não encontrado
Riboflavina,mg,"0,14","0,04",BRC0149K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0149K,Nome não encontrado
Vitamina B6,mg,"0,19","0,06",BRC0149K,Nome não encontrado
Vitamina B12,mcg,"0,16","0,05",BRC0149K,Nome não encontrado
Vitamina C,mg,"8,33","2,50",BRC0149K,Nome não encontrado
Equivalente de folato,mcg,"4,35","1,31",BRC0149K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0149K,Nome não encontrado
Açúcar de adição,g,,,BRC0149K,Nome não encontrado
Gordura de adição,g,-,-,BRC0149K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0149K,Nome não encontrado
Proteína animal,g,-,-,BRC0149K,Nome não encontrado
