componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,439,175,87,BRC0349E,Nome não encontrado
Energia,kcal,104,41,20,BRC0349E,Nome não encontrado
Umidade,g,"76,8","30,7","15,4",BRC0349E,Nome não encontrado
Carboidrato total,g,"3,26","1,30","0,65",BRC0349E,Nome não encontrado
Carboidrato disponível,g,"3,20","1,28","0,64",BRC0349E,Nome não encontrado
Proteína,g,"15,3","6,13","3,06",BRC0349E,Nome não encontrado
Lipídios,g,"3,33","1,33","0,67",BRC0349E,Nome não encontrado
Fibra alimentar,g,"0,05","0,02","0,01",BRC0349E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0349E,Nome não encontrado
Cinzas,g,"1,95","0,78","0,39",BRC0349E,Nome não encontrado
Colesterol,mg,248,"99,3","49,6",BRC0349E,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,57","0,29",BRC0349E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","0,31","0,15",BRC0349E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,31","0,15",BRC0349E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00",BRC0349E,Nome não encontrado
Cálcio,mg,"99,0","39,6","19,8",BRC0349E,Nome não encontrado
Ferro,mg,"1,89","0,76","0,38",BRC0349E,Nome não encontrado
Sódio,mg,508,203,101,BRC0349E,Nome não encontrado
Magnésio,mg,"17,5","6,99","3,49",BRC0349E,Nome não encontrado
Fósforo,mg,224,"89,6","44,8",BRC0349E,Nome não encontrado
Potássio,mg,117,"46,9","23,4",BRC0349E,Nome não encontrado
Manganês,mg,"0,05","0,02","0,01",BRC0349E,Nome não encontrado
Zinco,mg,"1,05","0,42","0,21",BRC0349E,Nome não encontrado
Cobre,mg,"0,14","0,05","0,03",BRC0349E,Nome não encontrado
Selênio,mcg,"36,6","14,7","7,33",BRC0349E,Nome não encontrado
Vitamina A (RE),mcg,"19,6","7,84","3,92",BRC0349E,Nome não encontrado
Vitamina A (RAE),mcg,"19,4","7,75","3,87",BRC0349E,Nome não encontrado
Vitamina D,mcg,"0,06","0,02","0,01",BRC0349E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","0,56","0,28",BRC0349E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,00",BRC0349E,Nome não encontrado
Riboflavina,mg,"0,07","0,03","0,01",BRC0349E,Nome não encontrado
Niacina,mg,"1,24","0,49","0,25",BRC0349E,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0349E,Nome não encontrado
Vitamina B12,mcg,"1,33","0,53","0,27",BRC0349E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0349E,Nome não encontrado
Equivalente de folato,mcg,"18,5","7,39","3,69",BRC0349E,Nome não encontrado
Sal de adição,g,"0,45","0,18","0,09",BRC0349E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0349E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0349E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0349E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0349E,Nome não encontrado
