componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,1098,1207,BRC0654F,Nome não encontrado
Energia,kcal,263,289,BRC0654F,Nome não encontrado
Umidade,g,"49,8","54,8",BRC0654F,Nome não encontrado
Carboidrato total,g,"7,94","8,73",BRC0654F,Nome não encontrado
Carboidrato disponível,g,"7,46","8,21",BRC0654F,Nome não encontrado
Proteína,g,"23,8","26,2",BRC0654F,Nome não encontrado
Lipídios,g,"15,2","16,7",BRC0654F,Nome não encontrado
Fibra alimentar,g,"0,48","0,53",BRC0654F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0654F,Nome não encontrado
Cinzas,g,"1,73","1,90",BRC0654F,Nome não encontrado
Colesterol,mg,104,114,BRC0654F,Nome não encontrado
Ácidos graxos saturados,g,"4,61","5,07",BRC0654F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,91","5,40",BRC0654F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,18","5,70",BRC0654F,Nome não encontrado
Ácidos graxos trans,g,"0,20","0,22",BRC0654F,Nome não encontrado
Cálcio,mg,"12,6","13,8",BRC0654F,Nome não encontrado
Ferro,mg,"2,70","2,97",BRC0654F,Nome não encontrado
Sódio,mg,286,315,BRC0654F,Nome não encontrado
Magnésio,mg,"22,1","24,3",BRC0654F,Nome não encontrado
Fósforo,mg,195,215,BRC0654F,Nome não encontrado
Potássio,mg,270,298,BRC0654F,Nome não encontrado
Manganês,mg,"0,17","0,18",BRC0654F,Nome não encontrado
Zinco,mg,"6,65","7,32",BRC0654F,Nome não encontrado
Cobre,mg,"0,12","0,13",BRC0654F,Nome não encontrado
Selênio,mcg,"9,61","10,6",BRC0654F,Nome não encontrado
Vitamina A (RE),mcg,"19,1","21,0",BRC0654F,Nome não encontrado
Vitamina A (RAE),mcg,"19,0","20,9",BRC0654F,Nome não encontrado
Vitamina D,mcg,"0,29","0,31",BRC0654F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,48","0,52",BRC0654F,Nome não encontrado
Tiamina,mg,"0,15","0,17",BRC0654F,Nome não encontrado
Riboflavina,mg,"0,23","0,25",BRC0654F,Nome não encontrado
Niacina,mg,"3,36","3,70",BRC0654F,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0654F,Nome não encontrado
Vitamina B12,mcg,"2,87","3,15",BRC0654F,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0654F,Nome não encontrado
Equivalente de folato,mcg,"17,2","19,0",BRC0654F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0654F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0654F,Nome não encontrado
Gordura de adição,g,-,-,BRC0654F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0654F,Nome não encontrado
Proteína animal,g,-,-,BRC0654F,Nome não encontrado
