componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,639,383,BRC0139T,Nome não encontrado
Energia,kcal,153,92,BRC0139T,Nome não encontrado
Umidade,g,"67,3","40,4",BRC0139T,Nome não encontrado
Carboidrato total,g,"15,4","9,22",BRC0139T,Nome não encontrado
Carboidrato disponível,g,"9,75","5,85",BRC0139T,Nome não encontrado
Proteína,g,"7,70","4,62",BRC0139T,Nome não encontrado
Lipídios,g,"8,04","4,82",BRC0139T,Nome não encontrado
Fibra alimentar,g,"5,61","3,37",BRC0139T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0139T,Nome não encontrado
Cinzas,g,"1,62","0,97",BRC0139T,Nome não encontrado
Colesterol,mg,"53,2","31,9",BRC0139T,Nome não encontrado
Ácidos graxos saturados,g,"2,24","1,34",BRC0139T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,97","1,78",BRC0139T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,16","1,30",BRC0139T,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03",BRC0139T,Nome não encontrado
Cálcio,mg,"30,7","18,4",BRC0139T,Nome não encontrado
Ferro,mg,"1,31","0,79",BRC0139T,Nome não encontrado
Sódio,mg,386,232,BRC0139T,Nome não encontrado
Magnésio,mg,"32,0","19,2",BRC0139T,Nome não encontrado
Fósforo,mg,110,"66,3",BRC0139T,Nome não encontrado
Potássio,mg,262,157,BRC0139T,Nome não encontrado
Manganês,mg,"0,38","0,23",BRC0139T,Nome não encontrado
Zinco,mg,"1,75","1,05",BRC0139T,Nome não encontrado
Cobre,mg,"0,37","0,22",BRC0139T,Nome não encontrado
Selênio,mcg,"1,74","1,04",BRC0139T,Nome não encontrado
Vitamina A (RE),mcg,"2,82","1,69",BRC0139T,Nome não encontrado
Vitamina A (RAE),mcg,"1,41","0,85",BRC0139T,Nome não encontrado
Vitamina D,mcg,"0,30","0,18",BRC0139T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,22",BRC0139T,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC0139T,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0139T,Nome não encontrado
Niacina,mg,"0,95","0,57",BRC0139T,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC0139T,Nome não encontrado
Vitamina B12,mcg,"0,28","0,17",BRC0139T,Nome não encontrado
Vitamina C,mg,"0,62","0,37",BRC0139T,Nome não encontrado
Equivalente de folato,mcg,"59,6","35,8",BRC0139T,Nome não encontrado
Sal de adição,g,"0,50","0,30",BRC0139T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0139T,Nome não encontrado
Gordura de adição,g,-,-,BRC0139T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0139T,Nome não encontrado
Proteína animal,g,-,-,BRC0139T,Nome não encontrado
