componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,888,532,399,BRC0464A,Nome não encontrado
Energia,kcal,213,127,95,BRC0464A,Nome não encontrado
Umidade,g,"62,8","37,7","28,2",BRC0464A,Nome não encontrado
Carboidrato total,g,"20,9","12,6","9,43",BRC0464A,Nome não encontrado
Carboidrato disponível,g,"19,6","11,7","8,80",BRC0464A,Nome não encontrado
Proteína,g,"1,95","1,17","0,88",BRC0464A,Nome não encontrado
Lipídios,g,"13,2","7,91","5,93",BRC0464A,Nome não encontrado
Fibra alimentar,g,"1,38","0,83","0,62",BRC0464A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Cinzas,g,"1,14","0,68","0,51",BRC0464A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Ácidos graxos saturados,g,"2,01","1,21","0,91",BRC0464A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,24","5,54","4,16",BRC0464A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,76","1,05","0,79",BRC0464A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Cálcio,mg,"14,3","8,55","6,41",BRC0464A,Nome não encontrado
Ferro,mg,"0,45","0,27","0,20",BRC0464A,Nome não encontrado
Sódio,mg,287,172,129,BRC0464A,Nome não encontrado
Magnésio,mg,"19,0","11,4","8,54",BRC0464A,Nome não encontrado
Fósforo,mg,"24,1","14,5","10,9",BRC0464A,Nome não encontrado
Potássio,mg,100,"60,2","45,2",BRC0464A,Nome não encontrado
Manganês,mg,"0,64","0,38","0,29",BRC0464A,Nome não encontrado
Zinco,mg,"0,38","0,23","0,17",BRC0464A,Nome não encontrado
Cobre,mg,"0,12","0,07","0,05",BRC0464A,Nome não encontrado
Selênio,mcg,"1,06","0,64","0,48",BRC0464A,Nome não encontrado
Vitamina A (RE),mcg,"61,3","36,8","27,6",BRC0464A,Nome não encontrado
Vitamina A (RAE),mcg,"30,7","18,4","13,8",BRC0464A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,39","0,84","0,63",BRC0464A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0464A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0464A,Nome não encontrado
Niacina,mg,"0,04","0,02","0,02",BRC0464A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0464A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Vitamina C,mg,"5,90","3,54","2,65",BRC0464A,Nome não encontrado
Equivalente de folato,mcg,"4,51","2,71","2,03",BRC0464A,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,21",BRC0464A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0464A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0464A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0464A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0464A,Nome não encontrado
