componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,534,293,BRC0668N,Nome não encontrado
Energia,kcal,128,70,BRC0668N,Nome não encontrado
Umidade,g,"74,7","41,1",BRC0668N,Nome não encontrado
Carboidrato total,g,"7,88","4,33",BRC0668N,Nome não encontrado
Carboidrato disponível,g,"7,07","3,89",BRC0668N,Nome não encontrado
Proteína,g,"10,7","5,91",BRC0668N,Nome não encontrado
Lipídios,g,"6,08","3,34",BRC0668N,Nome não encontrado
Fibra alimentar,g,"0,81","0,45",BRC0668N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0668N,Nome não encontrado
Cinzas,g,"0,57","0,31",BRC0668N,Nome não encontrado
Colesterol,mg,"38,1","21,0",BRC0668N,Nome não encontrado
Ácidos graxos saturados,g,"2,27","1,25",BRC0668N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,84","1,56",BRC0668N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,47","0,26",BRC0668N,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,06",BRC0668N,Nome não encontrado
Cálcio,mg,"9,76","5,37",BRC0668N,Nome não encontrado
Ferro,mg,"1,33","0,73",BRC0668N,Nome não encontrado
Sódio,mg,149,"82,4",BRC0668N,Nome não encontrado
Magnésio,mg,"9,91","5,45",BRC0668N,Nome não encontrado
Fósforo,mg,"65,5","36,0",BRC0668N,Nome não encontrado
Potássio,mg,139,"76,6",BRC0668N,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0668N,Nome não encontrado
Zinco,mg,"2,83","1,55",BRC0668N,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0668N,Nome não encontrado
Selênio,mcg,"0,35","0,19",BRC0668N,Nome não encontrado
Vitamina A (RE),mcg,"22,3","12,2",BRC0668N,Nome não encontrado
Vitamina A (RAE),mcg,"11,1","6,12",BRC0668N,Nome não encontrado
Vitamina D,mcg,"0,97","0,53",BRC0668N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,18",BRC0668N,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0668N,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0668N,Nome não encontrado
Niacina,mg,"0,57","0,31",BRC0668N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0668N,Nome não encontrado
Vitamina B12,mcg,"0,94","0,52",BRC0668N,Nome não encontrado
Vitamina C,mg,"0,18","0,10",BRC0668N,Nome não encontrado
Equivalente de folato,mcg,"31,5","17,3",BRC0668N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0668N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0668N,Nome não encontrado
Gordura de adição,g,-,-,BRC0668N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0668N,Nome não encontrado
Proteína animal,g,-,-,BRC0668N,Nome não encontrado
