componente,unidade,Valor por 100g,Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,746,261,BRC0086G,Nome não encontrado
Energia,kcal,177,62,BRC0086G,Nome não encontrado
Umidade,g,"61,5","21,5",BRC0086G,Nome não encontrado
Carboidrato total,g,"28,1","9,85",BRC0086G,Nome não encontrado
Carboidrato disponível,g,"28,0","9,81",BRC0086G,Nome não encontrado
Proteína,g,"4,21","1,47",BRC0086G,Nome não encontrado
Lipídios,g,"5,33","1,87",BRC0086G,Nome não encontrado
Fibra alimentar,g,"0,12","0,04",BRC0086G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0086G,Nome não encontrado
Cinzas,g,"0,79","0,28",BRC0086G,Nome não encontrado
Colesterol,mg,131,"45,9",BRC0086G,Nome não encontrado
Ácidos graxos saturados,g,"2,34","0,82",BRC0086G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,86","0,65",BRC0086G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,18",BRC0086G,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0086G,Nome não encontrado
Cálcio,mg,"90,4","31,6",BRC0086G,Nome não encontrado
Ferro,mg,"0,54","0,19",BRC0086G,Nome não encontrado
Sódio,mg,"52,6","18,4",BRC0086G,Nome não encontrado
Magnésio,mg,"9,25","3,24",BRC0086G,Nome não encontrado
Fósforo,mg,103,"36,3",BRC0086G,Nome não encontrado
Potássio,mg,109,"38,2",BRC0086G,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0086G,Nome não encontrado
Zinco,mg,"0,69","0,24",BRC0086G,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0086G,Nome não encontrado
Selênio,mcg,"7,49","2,62",BRC0086G,Nome não encontrado
Vitamina A (RE),mcg,139,"48,9",BRC0086G,Nome não encontrado
Vitamina A (RAE),mcg,137,"48,3",BRC0086G,Nome não encontrado
Vitamina D,mcg,"0,57","0,20",BRC0086G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,05",BRC0086G,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0086G,Nome não encontrado
Riboflavina,mg,"0,19","0,07",BRC0086G,Nome não encontrado
Niacina,mg,"1,06","0,37",BRC0086G,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0086G,Nome não encontrado
Vitamina B12,mcg,"0,43","0,15",BRC0086G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0086G,Nome não encontrado
Equivalente de folato,mcg,"22,9","8,02",BRC0086G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0086G,Nome não encontrado
Açúcar de adição,g,"18,0","6,30",BRC0086G,Nome não encontrado
Gordura de adição,g,-,-,BRC0086G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0086G,Nome não encontrado
Proteína animal,g,-,-,BRC0086G,Nome não encontrado
