componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,978,977,BRC0197E,Nome não encontrado
Energia,kcal,234,234,BRC0197E,Nome não encontrado
Umidade,g,"57,9","57,9",BRC0197E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0197E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0197E,Nome não encontrado
Proteína,g,"26,0","26,0",BRC0197E,Nome não encontrado
Lipídios,g,"14,5","14,5",BRC0197E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0197E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0197E,Nome não encontrado
Cinzas,g,"2,06","2,06",BRC0197E,Nome não encontrado
Colesterol,mg,"72,5","72,5",BRC0197E,Nome não encontrado
Ácidos graxos saturados,g,"3,56","3,56",BRC0197E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,13","4,13",BRC0197E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,96","4,96",BRC0197E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,02",BRC0197E,Nome não encontrado
Cálcio,mg,"15,1","15,1",BRC0197E,Nome não encontrado
Ferro,mg,"0,37","0,37",BRC0197E,Nome não encontrado
Sódio,mg,275,275,BRC0197E,Nome não encontrado
Magnésio,mg,"37,7","37,7",BRC0197E,Nome não encontrado
Fósforo,mg,350,350,BRC0197E,Nome não encontrado
Potássio,mg,515,515,BRC0197E,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0197E,Nome não encontrado
Zinco,mg,"0,50","0,50",BRC0197E,Nome não encontrado
Cobre,mg,"0,04","0,04",BRC0197E,Nome não encontrado
Selênio,mcg,"28,5","28,5",BRC0197E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0197E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0197E,Nome não encontrado
Vitamina D,mcg,"9,49","9,49",BRC0197E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,06","3,06",BRC0197E,Nome não encontrado
Tiamina,mg,"0,23","0,23",BRC0197E,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0197E,Nome não encontrado
Niacina,mg,"6,28","6,28",BRC0197E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0197E,Nome não encontrado
Vitamina B12,mcg,"3,45","3,45",BRC0197E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0197E,Nome não encontrado
Equivalente de folato,mcg,"24,7","24,7",BRC0197E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0197E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0197E,Nome não encontrado
Gordura de adição,g,-,-,BRC0197E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0197E,Nome não encontrado
Proteína animal,g,-,-,BRC0197E,Nome não encontrado
