componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,216,97,BRC1032B,Nome não encontrado
Energia,kcal,52,23,BRC1032B,Nome não encontrado
Umidade,g,"83,1","37,4",BRC1032B,Nome não encontrado
Carboidrato total,g,"10,7","4,84",BRC1032B,Nome não encontrado
Carboidrato disponível,g,"4,01","1,81",BRC1032B,Nome não encontrado
Proteína,g,"4,18","1,88",BRC1032B,Nome não encontrado
Lipídios,g,"0,62","0,28",BRC1032B,Nome não encontrado
Fibra alimentar,g,"6,78","3,05",BRC1032B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1032B,Nome não encontrado
Cinzas,g,"1,30","0,59",BRC1032B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1032B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC1032B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC1032B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC1032B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1032B,Nome não encontrado
Cálcio,mg,"1,25","0,56",BRC1032B,Nome não encontrado
Ferro,mg,"1,54","0,69",BRC1032B,Nome não encontrado
Sódio,mg,"26,1","11,7",BRC1032B,Nome não encontrado
Magnésio,mg,"21,2","9,52",BRC1032B,Nome não encontrado
Fósforo,mg,174,"78,4",BRC1032B,Nome não encontrado
Potássio,mg,504,227,BRC1032B,Nome não encontrado
Manganês,mg,"0,13","0,06",BRC1032B,Nome não encontrado
Zinco,mg,"1,37","0,62",BRC1032B,Nome não encontrado
Cobre,mg,"0,27","0,12",BRC1032B,Nome não encontrado
Selênio,mcg,,,BRC1032B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC1032B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC1032B,Nome não encontrado
Vitamina D,mcg,,,BRC1032B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC1032B,Nome não encontrado
Tiamina,mg,"0,77","0,35",BRC1032B,Nome não encontrado
Riboflavina,mg,"0,66","0,29",BRC1032B,Nome não encontrado
Niacina,mg,"50,9","22,9",BRC1032B,Nome não encontrado
Vitamina B6,mg,"0,38","0,17",BRC1032B,Nome não encontrado
Vitamina B12,mcg,,,BRC1032B,Nome não encontrado
Vitamina C,mg,traços,traços,BRC1032B,Nome não encontrado
Equivalente de folato,mcg,"0,02","0,01",BRC1032B,Nome não encontrado
Sal de adição,g,,,BRC1032B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1032B,Nome não encontrado
Gordura de adição,g,-,-,BRC1032B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1032B,Nome não encontrado
Proteína animal,g,-,-,BRC1032B,Nome não encontrado
