componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (15 g),Porção Média (45 g),codigo_alimento,nome_alimento
Energia,kJ,1429,214,642,BRC0022J,Nome não encontrado
Energia,kcal,345,51,155,BRC0022J,Nome não encontrado
Umidade,g,"49,8","7,47","22,4",BRC0022J,Nome não encontrado
Carboidrato total,g,"1,55","0,23","0,70",BRC0022J,Nome não encontrado
Carboidrato disponível,g,"1,55","0,23","0,70",BRC0022J,Nome não encontrado
Proteína,g,"15,8","2,37","7,12",BRC0022J,Nome não encontrado
Lipídios,g,"30,6","4,59","13,8",BRC0022J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0022J,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0022J,Nome não encontrado
Cinzas,g,"2,20","0,33","0,99",BRC0022J,Nome não encontrado
Colesterol,mg,1266,189,569,BRC0022J,Nome não encontrado
Ácidos graxos saturados,g,"9,16","1,37","4,12",BRC0022J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"12,0","1,81","5,42",BRC0022J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,98","0,60","1,79",BRC0022J,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,01","0,04",BRC0022J,Nome não encontrado
Cálcio,mg,114,"17,1","51,3",BRC0022J,Nome não encontrado
Ferro,mg,"2,91","0,44","1,31",BRC0022J,Nome não encontrado
Sódio,mg,232,"34,9",104,BRC0022J,Nome não encontrado
Magnésio,mg,"9,33","1,40","4,20",BRC0022J,Nome não encontrado
Fósforo,mg,383,"57,6",172,BRC0022J,Nome não encontrado
Potássio,mg,"87,0","13,1","39,2",BRC0022J,Nome não encontrado
Manganês,mg,"0,06","0,01","0,03",BRC0022J,Nome não encontrado
Zinco,mg,"2,86","0,43","1,29",BRC0022J,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0022J,Nome não encontrado
Selênio,mcg,"33,8","5,08","15,2",BRC0022J,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0022J,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0022J,Nome não encontrado
Vitamina D,mcg,"6,23","0,93","2,80",BRC0022J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"14,0","2,10","6,29",BRC0022J,Nome não encontrado
Tiamina,mg,"0,18","0,03","0,08",BRC0022J,Nome não encontrado
Riboflavina,mg,"0,22","0,03","0,10",BRC0022J,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0022J,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0022J,Nome não encontrado
Vitamina B12,mcg,"1,94","0,29","0,87",BRC0022J,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0022J,Nome não encontrado
Equivalente de folato,mcg,145,"21,8","65,4",BRC0022J,Nome não encontrado
Sal de adição,g,"0,47","0,07","0,21",BRC0022J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0022J,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0022J,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0022J,Nome não encontrado
Proteína animal,g,-,-,-,BRC0022J,Nome não encontrado
