componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,574,258,BRC0386E,Nome não encontrado
Energia,kcal,138,61,BRC0386E,Nome não encontrado
Umidade,g,"74,2","33,4",BRC0386E,Nome não encontrado
Carboidrato total,g,"2,92","1,31",BRC0386E,Nome não encontrado
Carboidrato disponível,g,"2,42","1,09",BRC0386E,Nome não encontrado
Proteína,g,"13,2","5,95",BRC0386E,Nome não encontrado
Lipídios,g,"8,22","3,70",BRC0386E,Nome não encontrado
Fibra alimentar,g,"0,51","0,23",BRC0386E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0386E,Nome não encontrado
Cinzas,g,"1,45","0,65",BRC0386E,Nome não encontrado
Colesterol,mg,"90,9","40,9",BRC0386E,Nome não encontrado
Ácidos graxos saturados,g,"4,10","1,84",BRC0386E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,82","0,82",BRC0386E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,64","0,74",BRC0386E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0386E,Nome não encontrado
Cálcio,mg,"41,8","18,8",BRC0386E,Nome não encontrado
Ferro,mg,"8,61","3,87",BRC0386E,Nome não encontrado
Sódio,mg,232,104,BRC0386E,Nome não encontrado
Magnésio,mg,"27,1","12,2",BRC0386E,Nome não encontrado
Fósforo,mg,116,"52,5",BRC0386E,Nome não encontrado
Potássio,mg,241,108,BRC0386E,Nome não encontrado
Manganês,mg,340,153,BRC0386E,Nome não encontrado
Zinco,mg,"1,49","0,67",BRC0386E,Nome não encontrado
Cobre,mg,"0,65","0,29",BRC0386E,Nome não encontrado
Selênio,mcg,"13,5","6,08",BRC0386E,Nome não encontrado
Vitamina A (RE),mcg,314,141,BRC0386E,Nome não encontrado
Vitamina A (RAE),mcg,183,"82,6",BRC0386E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00",BRC0386E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,56",BRC0386E,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0386E,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0386E,Nome não encontrado
Niacina,mg,"1,31","0,59",BRC0386E,Nome não encontrado
Vitamina B6,mg,"0,14","0,06",BRC0386E,Nome não encontrado
Vitamina B12,mcg,"7,43","3,34",BRC0386E,Nome não encontrado
Vitamina C,mg,"12,1","5,46",BRC0386E,Nome não encontrado
Equivalente de folato,mcg,"18,4","8,26",BRC0386E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0386E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0386E,Nome não encontrado
Gordura de adição,g,-,-,BRC0386E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0386E,Nome não encontrado
Proteína animal,g,-,-,BRC0386E,Nome não encontrado
